,C,cv_mse,ext_val_mse,gamma,train_mse,rcv_mse,test_mse
0,0.0001,47.32603504,47.03859416,1.00E-05,42.63867248,45.57273675,44.51246436
1,0.0001,47.32680381,47.04046431,0.0001,42.64138833,45.57346577,44.51527863
2,0.0001,47.32737959,47.04126053,0.001,42.64248514,45.57389501,44.51614939
3,0.0001,47.32803043,47.04329712,0.01,42.64372292,45.57424981,44.51664131
4,0.0001,47.32856515,47.04403549,0.1,42.64417507,45.57456091,44.51735938
5,0.0001,47.32891833,47.0439966,1,42.64441209,45.57475056,44.51777024
6,0.0001,47.32917402,47.04383922,10,42.6444116,45.57488307,44.517888
7,0.0001,47.32936179,47.04380126,100,42.64439838,45.5749782,44.51789291
8,0.0001,47.32950598,47.0438199,1000,42.64440548,45.57505088,44.51791606
9,0.001,47.32321531,46.98678299,1.00E-05,42.56926239,45.57041561,44.45633801
10,0.001,47.31946032,47.00539698,0.0001,42.59631386,45.56818383,44.48437704
11,0.001,47.31712501,47.01332234,0.001,42.60723674,45.5668718,44.49304081
12,0.001,47.31626152,47.03364778,0.01,42.6195895,45.5661893,44.49794045
13,0.001,47.31603568,47.04102925,0.1,42.62410651,45.56595485,44.50511782
14,0.001,47.31582677,47.04063835,1,42.62647402,45.56568067,44.50922395
15,0.001,47.31565889,47.03906416,10,42.62646897,45.56542785,44.51040126
16,0.001,47.31549195,47.03868445,100,42.62633674,45.56518472,44.51045025
17,0.001,47.31533426,47.03887077,1000,42.62640763,45.56496208,44.51068171
18,0.01,47.27691693,46.54206468,1.00E-05,41.93612862,45.54116044,44.01979976
19,0.01,47.25167828,46.6856834,0.0001,42.17913937,45.52637568,44.27220637
20,0.01,47.23422543,46.75152625,0.001,42.26396255,45.5160858,44.28448973
21,0.01,47.22662446,46.94684887,0.01,42.37939212,45.50995033,44.31164434
22,0.01,47.22251729,47.01133576,0.1,42.42411388,45.50647702,44.3830894
23,0.01,47.21889616,47.00722631,1,42.44751863,45.50303874,44.4238968
24,0.01,47.2156589,46.99144355,10,42.44745042,45.49979303,44.43563953
25,0.01,47.21254735,46.98763962,100,42.44612459,45.49666569,44.43612404
26,0.01,47.2096039,46.98949686,1000,42.44682565,45.49372555,44.43843627
27,0.1,47.07753332,44.11963764,1.00E-05,38.32469224,45.39952198,41.41624931
28,0.1,46.97317245,44.97485083,0.0001,39.48959253,45.33567497,42.97222546
29,0.1,46.87662108,45.18007158,0.001,39.70479187,45.27360869,42.99841814
30,0.1,46.81231963,46.33524442,0.01,40.37133668,45.22473514,43.22295382
31,0.1,46.76790808,46.83565448,0.1,40.55878758,45.18798669,43.40604025
32,0.1,46.72692236,46.74710779,1,40.7580108,45.15155487,43.77654996
33,0.1,46.68925142,46.53339309,10,40.71265337,45.11706456,43.74755302
34,0.1,46.65280533,46.48951471,100,40.69480578,45.08355785,43.73804318
35,0.1,46.61788864,46.50749193,1000,40.70094424,45.05152213,43.76079891
36,1,46.45989687,40.38727558,1.00E-05,33.68910549,44.93863801,39.49645058
37,1,46.29667687,41.61467955,0.0001,33.98655351,44.84353499,40.19581689
38,1,46.06731155,40.82917575,0.001,31.09190363,44.66069527,37.04736664
39,1,45.80188073,45.99480148,0.01,27.86738071,44.40825731,33.03798933
40,1,45.54720225,43.46146777,0.1,27.35863963,44.17603906,36.71062435
41,1,45.26604246,43.08295062,1,27.68276887,43.90865439,37.53905922
42,1,44.98783157,41.98475216,10,27.32495739,43.64698854,37.7958704
43,1,44.71432656,41.57296789,100,27.11561319,43.38973477,37.8161873
44,1,44.44699362,41.66307079,1000,27.08977932,43.13820884,38.00740415
45,10,44.39162826,42.52385191,1.00E-05,33.26521769,43.10201002,40.68067065
46,10,44.25986092,40.52079294,0.0001,29.07003691,43.02814863,37.02437686
47,10,43.99139923,41.58397639,0.001,23.48288155,42.79353587,29.77191615
48,10,43.74204151,54.80424046,0.01,15.26780003,42.48602399,25.71466805
49,10,43.3326031,37.38237797,0.1,7.130592898,42.09667532,23.67741455
50,10,42.85320762,33.16950464,1,3.501670967,41.61563154,21.94883362
51,10,42.32237834,30.12291144,10,1.6340357,41.12680331,19.72065612
52,10,41.7522284,29.49738584,100,0.665096191,40.59299138,19.06867827
53,10,41.17688037,29.49855574,1000,0.453062874,40.04887716,19.39209653
54,100,41.15283602,43.15873954,1.00E-05,30.01711991,40.0521378,37.35016893
55,100,41.05685927,39.00870616,0.0001,26.63821264,39.98315605,39.98805555
56,100,40.92603993,46.90889628,0.001,17.75365824,39.84364154,24.27139265
57,100,40.70426453,84.54334113,0.01,9.216443195,39.58798356,21.77895542
58,100,40.35880511,32.78280178,0.1,3.21922218,39.27607247,25.33686192
59,100,39.96121263,30.02828121,1,1.233049332,38.90417329,20.50948623
60,100,39.51753088,29.55172184,10,0.199681301,38.49202679,19.31419215
61,100,39.06204235,28.93055856,100,0.00995498,38.06646738,18.37040067
62,100,38.60558037,28.93266035,1000,0.009969614,37.63670582,18.63175206
63,1000,38.59109566,41.80813623,1.00E-05,27.9528712,37.66918179,42.33864889
64,1000,38.59778206,39.25787277,0.0001,21.55237155,37.75433293,30.81463813
65,1000,38.58371023,56.83682091,0.001,13.2499081,37.75049891,32.02509206
66,1000,38.56193262,100.4362521,0.01,4.755961586,37.84682992,38.76538989
67,1000,38.25836288,29.64680943,0.1,1.238596617,37.64446429,33.08332858
68,1000,37.9131632,30.0398143,1,0.193286643,37.31058337,20.55899942
69,1000,37.55035695,29.55035249,10,0.009927455,36.96801456,19.3427302
70,1000,37.18031307,28.93055856,100,0.00995498,36.61786426,18.37040067
71,1000,36.80704397,28.93266035,1000,0.009969614,36.26194238,18.63175206
72,10000,36.84949394,40.66951028,1.00E-05,25.00973004,36.35448929,65.28906532
73,10000,37.04288528,42.08410904,0.0001,18.51559059,36.98660105,28.94656996
74,10000,37.7128026,91.41569455,0.001,8.555646718,39.15918853,62.33064852
75,10000,37.61675191,126.2853004,0.01,1.613839122,39.43277693,71.77080337
76,10000,37.33402934,29.64301408,0.1,0.192528157,39.2030901,34.15291519
77,10000,37.0357886,30.04737878,1,0.009999113,38.88237185,20.58900646
78,10000,36.72542071,29.55035249,10,0.009927455,38.5589338,19.3427302
79,10000,36.40731847,28.93055856,100,0.00995498,38.22828893,18.37040067
80,10000,36.08506686,28.93266035,1000,0.009969614,37.89203214,18.63175206
