,C,cv_mse,ext_val_mse,gamma,train_mse,rcv_mse,test_mse
0,0.0001,39.90820634,77.68152367,1.00E-05,55.41305631,38.98254469,49.94230708
1,0.0001,39.9083728,77.68206725,0.0001,55.41411303,38.982904,49.94163126
2,0.0001,39.90843055,77.68218572,0.001,55.4143926,38.98304926,49.94073308
3,0.0001,39.90845716,77.68255133,0.01,55.41457832,38.98314088,49.93954908
4,0.0001,39.90845214,77.68279583,0.1,55.4145743,38.98317849,49.93931582
5,0.0001,39.90843996,77.68268077,1,55.41466331,38.98319962,49.93931298
6,0.0001,39.90842869,77.68266199,10,55.41468035,38.98321283,49.93936517
7,0.0001,39.90840909,77.68266199,100,55.4146568,38.98321251,49.93936912
8,0.0001,39.90838738,77.68266199,1000,55.41464142,38.98320632,49.93934237
9,0.001,39.90767736,77.66349098,1.00E-05,55.37767277,38.98126581,49.96266959
10,0.001,39.90739876,77.66890782,0.0001,55.38822368,38.98033074,49.95588986
11,0.001,39.90717209,77.67008604,0.001,55.39101465,38.97961506,49.94690167
12,0.001,39.90697328,77.67373871,0.01,55.39286924,38.97906785,49.93505818
13,0.001,39.90672789,77.67618284,0.1,55.39282886,38.97853677,49.93272552
14,0.001,39.90647991,77.67503212,1,55.39371868,38.97806075,49.93269708
15,0.001,39.90625166,77.6748443,10,55.39388906,38.977636,49.93321898
16,0.001,39.90599779,77.6748443,100,55.39365351,38.97721306,49.93325857
17,0.001,39.90573982,77.6748443,1000,55.39349984,38.97680744,49.93299112
18,0.01,39.90177854,77.48619497,1.00E-05,55.02660775,38.96643917,50.16947624
19,0.01,39.90003735,77.53846852,0.0001,55.13049286,38.96097566,50.09952552
20,0.01,39.89860153,77.54959834,0.001,55.15792978,38.95642869,50.00900328
21,0.01,39.89732808,77.5857809,0.01,55.17621398,38.95271864,49.89021964
22,0.01,39.89571857,77.61013285,0.1,55.17579185,38.94896711,49.86688867
23,0.01,39.89402224,77.59861698,1,55.18466205,38.94542997,49.86660431
24,0.01,39.89238922,77.5967387,10,55.18635704,38.94212297,49.87182107
25,0.01,39.89053793,77.5967387,100,55.18400433,38.93875524,49.87222303
26,0.01,39.88860825,77.5967387,1000,55.18247157,38.93543949,49.8695544
27,0.1,39.86032062,75.28402953,1.00E-05,51.12181048,38.87071765,51.39456129
28,0.1,39.84567249,75.96352937,0.0001,52.21325652,38.8339217,50.96025087
29,0.1,39.83117474,76.20272962,0.001,52.60022641,38.80149453,50.26690122
30,0.1,39.81838087,76.72304382,0.01,53.05321125,38.77400572,49.44887835
31,0.1,39.80290031,76.95763056,0.1,53.04716089,38.74498941,49.21513414
32,0.1,39.78661861,76.84160327,1,53.13306121,38.71668744,49.2122928
33,0.1,39.77075344,76.8228107,10,53.1491336,38.68965461,49.26424015
34,0.1,39.75323006,76.8228107,100,53.12587979,38.66182044,49.26886297
35,0.1,39.73509554,76.8228107,1000,53.11094729,38.63408255,49.24276055
36,1,39.67304979,63.83399961,1.00E-05,34.47908625,38.45441024,62.1956022
37,1,39.61677226,65.49178118,0.0001,35.94752261,38.33746468,60.1746827
38,1,39.53624289,65.59558835,0.001,35.45555843,38.17230608,54.78967543
39,1,39.46271513,68.30887599,0.01,34.73569202,37.99335956,43.79219909
40,1,39.37591034,70.54206557,0.1,34.85679331,37.80984124,41.97253988
41,1,39.28609302,69.37041154,1,35.57203273,37.63317582,42.21878158
42,1,39.19482417,69.17406516,10,35.66085904,37.46057072,42.70095066
43,1,39.08218006,69.17406516,100,35.45565243,37.27493293,42.81288416
44,1,38.96186169,69.17406516,1000,35.34584085,37.08783351,42.62296062
45,10,38.90852457,60.44565815,1.00E-05,32.74598067,36.94165527,82.62240863
46,10,38.86186172,56.28947519,0.0001,28.11763946,36.79525003,79.2522294
47,10,38.7915496,49.40061195,0.001,17.73366358,36.59646327,53.4670807
48,10,38.62643321,61.23656132,0.01,7.069592189,36.34295157,29.58610829
49,10,38.44317344,60.69466609,0.1,2.687164997,36.06226957,23.3751576
50,10,38.26245042,55.5094766,1,1.786655373,35.78990242,23.03316369
51,10,38.05100007,54.60585056,10,1.405233964,35.5065232,24.69987405
52,10,37.79760131,54.43953347,100,0.952482061,35.20747775,27.86749571
53,10,37.55212499,54.49101572,1000,0.948957161,34.91838033,27.87159836
54,100,37.49778582,51.89147206,1.00E-05,28.44458034,34.82645365,76.64623641
55,100,37.47128757,47.7298427,0.0001,20.3486747,34.74994406,67.33697894
56,100,37.38952824,74.07205169,0.001,6.703700362,34.64328305,73.46515619
57,100,37.25801611,72.22504058,0.01,1.954954097,34.4674256,40.44116644
58,100,37.12692193,61.00153243,0.1,0.875167102,34.26236988,24.1617662
59,100,36.96529249,55.45214366,1,0.526420463,34.04665447,23.53935754
60,100,36.76369337,54.45413771,10,0.009927569,33.81595662,23.75108718
61,100,36.56766719,54.49065254,100,0.009903822,33.59190058,27.81066424
62,100,36.37676205,54.53532042,1000,0.009889305,33.37401308,27.81879805
63,1000,36.32914314,31.54970073,1.00E-05,22.61304375,33.41982272,68.4640853
64,1000,36.31303249,56.95081464,0.0001,9.526936505,33.50823527,97.34112417
65,1000,36.28957063,80.41462386,0.001,2.879265996,33.45677957,113.8387567
66,1000,36.19017993,72.24379342,0.01,0.876282469,33.32030488,40.81525128
67,1000,36.06589415,60.98240772,0.1,0.532055844,33.14330644,24.13403869
68,1000,35.90163262,55.27837766,1,0.009902151,32.95250975,23.44749896
69,1000,35.74114853,54.45413771,10,0.009927569,32.7671037,23.75108718
70,1000,35.58437278,54.49065254,100,0.009903822,32.5862217,27.81066424
71,1000,35.43098765,54.53532042,1000,0.009889305,32.4095379,27.81879805
72,10000,35.42413333,24.52044504,1.00E-05,13.22851817,32.77633984,103.9368098
73,10000,35.54275973,56.66492812,0.0001,5.479184296,32.91166087,160.6095259
74,10000,35.6740104,82.00773273,0.001,0.876578514,32.87202078,172.4342318
75,10000,35.5711418,72.23669734,0.01,0.532655978,32.74529149,40.79888814
76,10000,35.43422098,60.91890827,0.1,0.009881449,32.57905625,24.04363586
77,10000,35.29701107,55.27837766,1,0.009902151,32.41750854,23.44749896
78,10000,35.16246342,54.45413771,10,0.009927569,32.25999686,23.75108718
79,10000,35.0305585,54.49065254,100,0.009903822,32.10580292,27.81066424
80,10000,34.90105338,54.53532042,1000,0.009889305,31.95468176,27.81879805
