,C,cv_mse,ext_val_mse,gamma,train_mse,rcv_mse,test_mse
0,0.0001,44.5479924,51.33473668,1.00E-05,42.26636748,43.19316608,52.44844728
1,0.0001,44.54956248,51.33844456,0.0001,42.27082227,43.19431767,52.454016
2,0.0001,44.55016161,51.33893531,0.001,42.27237601,43.19461147,52.45653281
3,0.0001,44.55077418,51.34035498,0.01,42.27455123,43.19486408,52.4600361
4,0.0001,44.55132841,51.34119479,0.1,42.27530995,43.19518069,52.46126865
5,0.0001,44.5517393,51.34152366,1,42.27557991,43.19543971,52.46184609
6,0.0001,44.55203354,51.341533,10,42.2755974,43.19562195,52.46197537
7,0.0001,44.5522616,51.34165216,100,42.27560557,43.19576488,52.46211393
8,0.0001,44.5524466,51.34182858,1000,42.27568251,43.19588509,52.46224101
9,0.001,44.54598342,51.26513235,1.00E-05,42.14752627,43.19066574,52.29587574
10,0.001,44.54315943,51.30186209,0.0001,42.20361892,43.18874239,52.36430206
11,0.001,44.54089028,51.30664444,0.001,42.22112328,43.18691112,52.3917316
12,0.001,44.53970368,51.3207941,0.01,42.24639018,43.18568522,52.43076117
13,0.001,44.53935219,51.32918423,0.1,42.25396787,43.18522322,52.44307487
14,0.001,44.53921285,51.33247127,1,42.25666574,43.18501446,52.44884739
15,0.001,44.53909413,51.33256417,10,42.25684016,43.18481965,52.45013948
16,0.001,44.53902413,51.33375526,100,42.25692155,43.18467709,52.45152448
17,0.001,44.53899998,51.33551941,1000,42.25769071,43.1845956,52.452795
18,0.01,44.50692563,50.33209453,1.00E-05,41.35043648,43.15729079,51.20397743
19,0.01,44.49154151,50.85200925,0.0001,41.66249709,43.14505949,51.61139267
20,0.01,44.47682427,50.95992571,0.001,41.73983687,43.13166873,51.77613475
21,0.01,44.46730026,51.1340249,0.01,41.94298081,43.12142492,52.11301674
22,0.01,44.46248071,51.20945509,0.1,42.03415963,43.11592181,52.25350581
23,0.01,44.45912238,51.24216045,1,42.06294018,43.11220511,52.31330079
24,0.01,44.45604997,51.24303594,10,42.06685946,43.10880963,52.3287347
25,0.01,44.45343974,51.25489248,100,42.07050787,43.10583459,52.34580049
26,0.01,44.45127611,51.27253052,1000,42.07818033,43.10347332,52.35848961
27,0.1,44.32037289,44.68810244,1.00E-05,36.88005886,42.9969704,44.65156641
28,0.1,44.23060035,47.21755488,0.0001,38.01420237,42.93802644,46.02969725
29,0.1,44.13802584,48.02856097,0.001,38.34384077,42.86152251,47.13897022
30,0.1,44.06587073,49.52739405,0.01,39.32962856,42.79039526,49.35758597
31,0.1,44.02113098,50.17352488,0.1,40.0004936,42.74265591,50.49625784
32,0.1,43.986886,50.54277974,1,40.31443866,42.70481022,51.14339792
33,0.1,43.95492415,50.57176244,10,40.30457037,42.66928948,51.24111388
34,0.1,43.9262783,50.56467487,100,40.29007239,42.6371403,51.3530346
35,0.1,43.90128616,50.66177441,1000,40.38250603,42.60905258,51.49727277
36,1,43.76152393,38.76283645,1.00E-05,34.01869898,42.48797606,39.12081161
37,1,43.61271283,40.83102701,0.0001,33.35630079,42.35934407,38.92223359
38,1,43.41309141,41.65409766,0.001,31.15297579,42.17209401,38.2396077
39,1,43.13545888,40.29599514,0.01,27.81534911,41.90948516,36.8128052
40,1,42.85450735,43.12984886,0.1,26.93363935,41.64250282,38.31249277
41,1,42.59299549,44.8267252,1,27.1123607,41.39626709,42.06416218
42,1,42.33861457,44.37220739,10,26.67443337,41.15032342,42.64956568
43,1,42.10458599,44.28911576,100,26.54148493,40.92325817,43.26593566
44,1,41.88873688,44.53227195,1000,26.95044699,40.71585022,43.98032288
45,10,41.84765821,40.65032793,1.00E-05,33.27023499,40.68463163,36.97109924
46,10,41.75119646,43.39385107,0.0001,30.35462871,40.57790867,33.61191335
47,10,41.67118017,44.40142109,0.001,26.52230487,40.4292593,31.20679154
48,10,41.35857361,29.78791927,0.01,17.63988338,40.20046119,24.26140778
49,10,40.92010349,31.10676524,0.1,9.43637759,39.83999116,18.38721186
50,10,40.42248862,29.02327157,1,4.553839488,39.40286549,23.03652557
51,10,39.87901697,25.0299567,10,1.214422264,38.9117098,22.84026635
52,10,39.35928573,24.86428954,100,0.733384451,38.4385461,22.40799518
53,10,38.863366,25.03234154,1000,0.704351135,37.98625465,23.24021512
54,100,38.86786594,41.65745551,1.00E-05,30.42019834,37.95910667,33.6964056
55,100,38.8802761,42.61620971,0.0001,27.45487635,37.89918166,33.69154228
56,100,38.90673954,45.02736032,0.001,22.23937476,37.90083165,30.80653967
