,C,cv_mse,ext_val_mse,gamma,train_mse,rcv_mse,test_mse
0,0.0001,361.9316178,580.3565722,1.00E-05,336.6933268,338.8038339,322.8141041
1,0.0001,361.9314262,580.3589433,0.0001,336.6918276,338.8033399,322.819165
2,0.0001,361.9335894,580.3671298,0.001,336.6961347,338.8037423,322.8234891
3,0.0001,361.9348608,580.3682969,0.01,336.6964841,338.8038747,322.8236152
4,0.0001,361.9356246,580.3683066,0.1,336.6965605,338.803954,322.823615
5,0.0001,361.9361401,580.3683817,1,336.6966017,338.8040069,322.823615
6,0.0001,361.9365203,580.3685503,10,336.6966425,338.8040447,322.823615
7,0.0001,361.9368058,580.368555,100,336.6966437,338.804073,322.823615
8,0.0001,361.9370279,580.368555,1000,336.6966437,338.8040951,322.823615
9,0.001,361.9274748,580.2302883,1.00E-05,336.60908,338.7988937,322.7063362
10,0.001,361.9193105,580.2539939,0.0001,336.5940888,338.7937401,322.7569377
11,0.001,361.9180736,580.3358539,0.001,336.6371522,338.7908627,322.8001725
12,0.001,361.9176109,580.3475245,0.01,336.6406468,338.7882161,322.8014331
13,0.001,361.9172179,580.3476223,0.1,336.6414101,338.7859474,322.801431
14,0.001,361.9169024,580.3483731,1,336.641822,338.7839812,322.801431
15,0.001,361.9166791,580.3500585,10,336.6422304,338.7822608,322.801431
16,0.001,361.9164835,580.3501058,100,336.6422418,338.7807427,322.801431
17,0.001,361.9163096,580.3501058,1000,336.6422418,338.7793934,322.801431
18,0.01,361.8650036,578.9685606,1.00E-05,335.7676845,338.7507565,321.6301364
19,0.01,361.8169296,579.2519898,0.0001,335.6178831,338.7200537,322.1354504
20,0.01,361.8051843,580.0231893,0.001,336.047802,338.7003539,322.5671094
21,0.01,361.7979565,580.1398814,0.01,336.0827206,338.6811941,322.5797059
22,0.01,361.7913787,580.1408578,0.1,336.0903502,338.6636989,322.579685
23,0.01,361.7855058,580.1483617,1,336.0944657,338.6476617,322.579685
24,0.01,361.7804406,580.1652115,10,336.0985445,338.6329074,322.579685
25,0.01,361.7757742,580.165685,100,336.0986591,338.6192881,322.579685
26,0.01,361.7714534,580.165685,1000,336.0986591,338.6066776,322.579685
27,0.1,361.4246782,569.8902772,1.00E-05,327.225637,338.4348069,310.4496837
28,0.1,361.1198207,574.083543,0.0001,324.8512853,338.233394,313.0348188
29,0.1,361.0317515,577.8744194,0.001,329.8498832,338.098481,319.3988607
30,0.1,360.9737395,579.0011638,0.01,330.2137251,337.9633841,319.5662226
31,0.1,360.9195064,579.0108876,0.1,330.2898969,337.8367202,319.56602
32,0.1,360.8696966,579.0856744,1,330.3306629,337.7177329,319.56602
33,0.1,360.8253061,579.2541598,10,330.3706815,337.6057448,319.56602
34,0.1,360.7835203,579.258905,100,330.3718087,337.5001561,319.56602
35,0.1,360.744056,579.258905,1000,330.3718087,337.4004334,319.56602
36,1,359.0186655,496.1857764,1.00E-05,261.4115589,336.3038198,229.5418009
37,1,357.2431025,502.8704457,0.0001,241.9208617,334.8335085,249.6695821
38,1,356.6684156,558.3658387,0.001,275.8659995,333.8979428,298.0376066
39,1,356.2247043,573.9269665,0.01,279.5248578,332.9875896,300.3881578
40,1,355.8037922,574.0258846,0.1,280.2471461,332.1215709,300.3864941
41,1,355.4120469,574.7592898,1,280.6198612,331.2967912,300.3864941
42,1,355.0595964,576.4669834,10,280.9716942,330.5103733,300.3864941
43,1,354.7237659,576.5161825,100,280.9818846,329.7597017,300.3864941
44,1,354.4028612,576.5161825,1000,280.9818846,329.0423933,300.3864941
45,10,348.9905152,193.0917182,1.00E-05,77.47169886,325.6487081,68.79018506
46,10,343.202717,39.855236,0.0001,30.27917105,320.8370972,97.33581807
47,10,339.1270329,297.7648608,0.001,46.4580779,316.8790404,173.2378009
48,10,335.7963763,398.7188379,0.01,62.75622299,313.02517,182.7649915
49,10,332.600307,398.9060422,0.1,65.83092327,309.3252186,182.7206845
50,10,329.547591,400.9622475,1,67.02595169,305.7703632,182.1756582
51,10,326.7031978,411.7226956,10,66.2518337,302.3522331,179.9959529
52,10,323.9698693,412.1477438,100,66.23815937,299.063089,179.9550116
53,10,321.3377751,412.1477438,1000,66.23815937,295.8957651,179.9550116
54,100,316.5899437,55.0734063,1.00E-05,28.09969591,291.9522149,48.44750953
55,100,312.0053726,20.35311367,0.0001,1.139025747,287.9214759,40.44215203
56,100,307.9761485,97.20609671,0.001,0.009995984,284.7007656,111.4919938
57,100,304.3754007,255.3284246,0.01,0.010001709,281.5271766,120.3396461
58,100,300.8967977,260.3712089,0.1,0.009903493,278.460933,122.3732458
59,100,297.5400236,264.383964,1,0.009998414,275.4968975,123.3402612
60,100,294.3395201,273.6791318,10,0.009974298,272.6300435,122.4711959
61,100,291.2441763,274.0717768,100,0.009940829,269.8556686,122.4306245
62,100,288.2470973,274.0717768,1000,0.009940829,267.1693692,122.4306245
63,1000,285.0117836,55.2590635,1.00E-05,5.595163093,264.9255253,17.37367174
64,1000,281.533807,20.06958655,0.0001,0.009760211,261.8576506,36.40928597
65,1000,278.515713,97.20609671,0.001,0.009995984,259.4710345,111.4919938
66,1000,275.8383557,255.3284246,0.01,0.010001709,257.1003116,120.3396461
67,1000,273.2398184,260.3712089,0.1,0.009903493,254.799113,122.3732458
68,1000,270.7217103,264.383964,1,0.009998414,252.5646157,123.3402612
69,1000,268.3158188,273.6791318,10,0.009974298,250.3939613,122.4711959
70,1000,265.9793735,274.0717768,100,0.009940829,248.284452,122.4306245
71,1000,263.7078295,274.0717768,1000,0.009940829,246.2335403,122.4306245
72,10000,260.9982708,34.82628774,1.00E-05,0.009960945,244.1194869,35.9686103
73,10000,258.2677983,20.06958655,0.0001,0.009760211,241.7058947,36.40928597
74,10000,255.922089,97.20609671,0.001,0.009995984,239.8743627,111.4919938
75,10000,253.8590717,255.3284246,0.01,0.010001709,238.0422343,120.3396461
76,10000,251.8497048,260.3712089,0.1,0.009903493,236.2575144,122.3732458
77,10000,249.8963798,264.383964,1,0.009998414,234.5185566,123.3402612
78,10000,248.0281891,273.6791318,10,0.009974298,232.823623,122.4711959
79,10000,246.2081892,274.0717768,100,0.009940829,231.1710627,122.4306245
80,10000,244.4331276,274.0717768,1000,0.009940829,229.5593065,122.4306245
