,cv_mse,ext_val_mse,max_depth,n_estimators,rcv_mse,test_mse,train_mse
0,84.28098593317159,40.63647349587824,5.0,10,73.88594614439458,63.25292630910171,17.178599860032605
1,76.50371847003005,33.182745538322095,5.0,50,72.66213854905784,54.64046467620231,14.150252469162776
2,72.2902071989974,36.714469933323095,5.0,100,72.39964790638477,57.58578292391422,14.688861461881595
3,70.21618261442632,39.97431945272338,5.0,150,72.43404972849793,57.69734126627617,15.696124316614391
4,68.71746659771912,43.83814093200911,5.0,200,72.22375897361967,56.89410279692542,15.615219033393714
5,68.04841642530387,43.574485905988155,5.0,500,72.30558256268458,59.14568296278463,15.81796040597563
6,67.46452348601943,44.09165456909791,5.0,750,72.39358231836634,58.97921722924394,16.033216362061218
7,66.97493148207266,44.98217667205571,5.0,1000,72.4920492135896,59.61325394835158,16.213038365538672
8,68.86834226493508,35.6541392014694,10.0,10,71.8462639958292,43.83562126013265,12.43125732883163
9,68.84824550809365,30.767115423702467,10.0,50,71.46199067757718,40.28581667666,10.129508531556986
10,68.25301291857106,35.699464256646394,10.0,100,71.4137195912149,45.5742122237395,10.848357117441086
11,67.76557454716341,39.81724725244919,10.0,150,71.33941239724955,45.53616459884871,11.644938484633178
12,67.2417218936849,43.72658313441494,10.0,200,71.18304822060784,46.15904473074356,11.728981345250919
13,66.88136885636293,40.530440172522994,10.0,500,71.03335137879405,50.55624562714862,11.426114564249541
14,66.51483702118708,40.55160622334462,10.0,750,70.94957854214523,50.00859011902414,11.451370176071825
15,66.16912568263278,41.67383571724649,10.0,1000,70.89941979707763,50.46694203326703,11.73517867317978
16,67.22048881968381,35.38413200000001,20.0,10,70.6495893476697,44.49586714999998,12.3317154125
17,67.31305590164582,31.006818039999995,20.0,50,70.50858463552932,40.643785247999986,10.079096160000004
18,67.05756405733553,35.667034420999855,20.0,100,70.54747673847139,46.11200345449983,10.771978482499957
19,66.8295935033465,39.577112544888834,20.0,150,70.55322981136685,46.07666950466646,11.558917056722146
20,66.55212985087464,43.41775265100004,20.0,200,70.49857793785108,46.70468748399997,11.655172717093743
21,66.35707356806944,40.41888016964015,20.0,500,70.43753463306099,50.723686779380316,11.38992994907016
22,66.14322613197687,40.25948364707641,20.0,750,70.4098715714118,50.08889119185866,11.398152864420178
23,65.93083538503839,41.39390640582068,20.0,1000,70.39999946298131,50.461319194906494,11.67063862596018
24,66.65529393013686,35.38413200000001,30.0,10,70.25009157074777,44.49586714999998,12.3317154125
25,66.74111709801622,31.006818039999995,30.0,50,70.16783822299375,40.643785247999986,10.079096160000004
26,66.58250945956192,35.667034420999855,30.0,100,70.20782697738024,46.11200345449983,10.771978482499957
27,66.43663958520452,39.577112544888834,30.0,150,70.22406666377312,46.07666950466646,11.558917056722146
28,66.24926776507463,43.41775265100004,30.0,200,70.19584162252353,46.70468748399997,11.655172717093743
29,66.1163218938775,40.41888016964015,30.0,500,70.16116774285506,50.723686779380316,11.38992994907016
30,65.96542707594405,40.25948364707641,30.0,750,70.14955859679941,50.08889119185866,11.398152864420178
31,65.81169023624119,41.39390640582068,30.0,1000,70.15028929593318,50.461319194906494,11.67063862596018
32,66.36413292643087,35.38413200000001,,10,70.04428968566681,44.49586714999998,12.3317154125
33,66.43832596668287,31.006818039999995,,50,69.9874430634161,40.643785247999986,10.079096160000004
34,66.32462267791337,35.667034420999855,,100,70.02344567850217,46.11200345449983,10.771978482499957
35,66.21833185290343,39.577112544888834,,150,70.04119824844325,46.07666950466646,11.558917056722146
36,66.07737306772869,43.41775265100004,,200,70.02401830841872,46.70468748399997,11.655172717093743
37,65.9769393456611,40.41888016964015,,500,70.00116585905162,50.723686779380316,11.38992994907016
38,65.8605712223862,40.25948364707641,,750,69.99604068869465,50.08889119185866,11.398152864420178
39,65.74020314696287,41.39390640582068,,1000,70.0004631957043,50.461319194906494,11.67063862596018
