,cv_mse,ext_val_mse,max_depth,n_estimators,rcv_mse,test_mse,train_mse
0,40.829247314564356,56.11892685804566,5.0,10,45.107672650999035,69.67245134640726,19.14728088742511
1,36.79723683701814,40.10194852266362,5.0,50,42.044161465047424,67.65703664925175,15.313825818084478
2,35.34648766518092,35.09827792857128,5.0,100,41.00755127336594,67.3851122842689,14.418163542131598
3,34.596457948151226,34.62789604321121,5.0,150,40.490521900454425,66.16644299776887,14.316588424146449
4,34.12796059418154,34.10618604710367,5.0,200,40.22306081143185,66.26090559227633,14.192255348226082
5,33.78980282215532,33.89921911422657,5.0,500,40.06970723441158,66.71237579656783,14.261711333336915
6,33.56432818246388,33.48519487744607,5.0,750,40.0589555815698,66.75075013661089,14.284407294080378
7,33.38948709624942,33.495783908945185,5.0,1000,40.00493495151284,67.3440916007968,14.326481814222232
8,32.736180632873314,48.6068976191472,10.0,10,39.521663716661074,60.49318394810054,9.859199283023388
9,31.88702277653085,34.25916737759472,10.0,50,38.57219376582888,56.63245908937159,6.796396406988405
10,31.176376268047132,30.378846421605022,10.0,100,37.7966737066279,57.38757926164872,6.115122794922374
11,30.531896875869755,28.876835094344752,10.0,150,37.23007166715145,56.59176165475666,5.868105735898272
12,29.975505440749025,29.279136707235086,10.0,200,36.77600505121045,56.73029968689614,5.9014425230650955
13,29.518854657273558,27.894822770073358,10.0,500,36.35711547188315,57.49059223515119,5.875985786940017
14,29.12656482650386,26.990091118908868,10.0,750,36.04187555986334,57.54083036061662,5.751981174690659
15,28.785487353046175,27.010795774279902,10.0,1000,35.73236597207231,58.106053802305034,5.747432949106079
16,28.759433680563067,43.12855063333333,20.0,10,35.69074085438738,64.78221735000001,9.249000708333336
17,28.514253848800305,33.07135270799994,20.0,50,35.396392122614536,57.140884935999956,6.515783501833323
18,28.26807552486783,29.761061056666694,20.0,100,35.119891963414275,56.933976833333304,6.028228633125003
19,28.02383026007536,28.811989351407497,20.0,150,34.90837179877689,56.89053398548139,5.8672867584814865
20,27.7940540006184,28.28451995900011,20.0,200,34.728294855693406,57.12219268666656,5.751346664666674
21,27.59852130950121,27.411365063546548,20.0,500,34.55664627310432,57.6507328572663,5.744809194748359
22,27.426345057009435,26.665135640710666,20.0,750,34.4279672509716,57.023197937418786,5.633488570192584
23,27.271722049659523,26.63469393297269,20.0,1000,34.28923097274148,57.745971005069734,5.61609937535624
24,27.314556164506477,43.12855063333333,30.0,10,34.31865129268896,64.78221735000001,9.249000708333336
25,27.20038849313443,33.07135270799994,30.0,50,34.16764407691155,57.140884935999956,6.515783501833323
26,27.075813574651054,29.761061056666694,30.0,100,34.01857907768555,56.933976833333304,6.028228633125003
27,26.943933455164174,28.811989351407497,30.0,150,33.90682584886345,56.89053398548139,5.8672867584814865
28,26.814781570899182,28.28451995900011,30.0,200,33.810961371110345,57.12219268666656,5.751346664666674
29,26.70403334507055,27.411365063546548,30.0,500,33.71566352669778,57.6507328572663,5.744809194748359
30,26.605144124332476,26.665135640710666,30.0,750,33.64732046983824,57.023197937418786,5.633488570192584
31,26.5148393979662,26.63469393297269,30.0,1000,33.56766347307607,57.745971005069734,5.61609937535624
32,26.570225322901564,43.12855063333333,,10,33.61181727605645,64.78221735000001,9.249000708333336
33,26.50481271660544,33.07135270799994,,50,33.51713040565703,57.140884935999956,6.515783501833323
34,26.42858565881909,29.761061056666694,,100,33.4207235111471,56.933976833333304,6.028228633125003
35,26.343990785769073,28.811989351407497,,150,33.35041143224486,56.89053398548139,5.8672867584814865
36,26.258978299977457,28.28451995900011,,200,33.290312636617266,57.12219268666656,5.751346664666674
37,26.186171891979107,27.411365063546548,,500,33.228778778778214,57.6507328572663,5.744809194748359
38,26.120846138394782,26.665135640710666,,750,33.18693903481087,57.023197937418786,5.633488570192584
39,26.060709806950204,26.63469393297269,,1000,33.13472297327682,57.745971005069734,5.61609937535624
