,C,cv_mse,ext_val_mse,gamma,rcv_mse,test_mse,train_mse
58,100.0,231.7214972560796,135.73783710914697,0.1,231.50251503951,104.79943421895665,1.735186634397685
59,100.0,229.21076894977915,137.76979260826596,1.0,229.13728045270662,112.8504619521346,1.7306167876913365
60,100.0,226.80326075738182,145.06573587819295,10.0,226.86394968363408,123.54438245055405,1.7306800337319992
61,100.0,224.47480104226105,145.9703698516402,100.0,224.66398587590925,125.4186798820931,1.730696509861694
62,100.0,222.22026068094686,145.97036269542653,1000.0,222.53386218967867,125.4188132131811,1.730697212283063
63,1000.0,219.25145106484243,35.0300178162971,1e-05,219.57852025106604,41.058374691544536,21.485497257192165
64,1000.0,216.337125973998,32.8716319682548,0.0001,216.7079673546534,27.74620553187431,4.188221200983135
65,1000.0,213.7819666265558,62.61498117223313,0.001,214.21808113461788,68.94390054336574,1.7780460206198443
66,1000.0,211.64553017230347,128.10527238677443,0.01,212.1840137885123,91.90439012866631,1.7345077935901827
67,1000.0,209.67534597966767,135.73291384207428,0.1,210.32816932068494,104.79784412992788,1.7306666812946734
68,1000.0,207.81161341297758,137.76979260826596,1.0,208.578318168665,112.85044041225746,1.7306276397169336
69,1000.0,206.0193442101285,145.06573622233816,10.0,206.89097224538813,123.5443823132698,1.7306892829756713
70,1000.0,204.2787725792801,145.9703698516402,100.0,205.25118663073042,125.41867975203901,1.7306964447860107
71,1000.0,202.58655015844937,145.97036269542653,1000.0,203.6569506170173,125.41881150918141,1.7307209214435308
72,10000.0,200.19276058833594,84.23807628133758,1e-05,201.30881690323577,45.22901662857535,11.882519045195314
73,10000.0,198.11141736599674,63.870049516056234,0.0001,199.22352103967827,34.31325799429745,2.498234961093706
74,10000.0,196.1046871379898,61.581861770082014,0.001,197.26554711691335,68.91803796692975,1.734313203850752
75,10000.0,194.45384552027477,128.10249533816415,0.01,195.69541582518477,91.90380587654757,1.7306932364998675
76,10000.0,192.9372112287526,135.73291375315168,0.1,194.27062587909478,104.79784411431898,1.7306678179825674
77,10000.0,191.5031161986154,137.76979417199513,1.0,192.92854657078985,112.8504954566445,1.730637926205515
78,10000.0,190.12146623677904,145.06573634945565,10.0,191.6315283045682,123.54438295649119,1.7306800458676093
79,10000.0,188.77543238906802,145.97036837719267,100.0,190.36696162081978,125.41867988214145,1.7306965532264662
80,10000.0,187.46263394327048,145.9703612209375,1000.0,189.1336188062835,125.41881077411271,1.7306953243357748
