,C,cv_mse,ext_val_mse,gamma,rcv_mse,test_mse,train_mse
0,0.0001,291.9690166768045,282.3380690846611,1e-05,289.58305173364533,332.8884859378053,285.1226906500195
1,0.0001,291.98327341159154,282.3577634064233,0.0001,289.59443729235807,332.9344853286502,285.154925087571
2,0.0001,291.99491600600226,282.3772817739326,0.001,289.60375280964814,332.96267165359995,285.1794259040281
3,0.0001,292.00155424287277,282.3809757393738,0.01,289.60910976353273,332.96687965400696,285.18353976889256
4,0.0001,292.0056200984796,282.38126589439145,0.1,289.6124042727734,332.96743152508293,285.1839872722344
5,0.0001,292.00836000527033,282.3813771356014,1.0,289.6146324233849,332.96762126058616,285.18416144000236
6,0.0001,292.0103432666817,282.38152490954997,10.0,289.6162509151124,332.967654978762,285.18419125517937
7,0.0001,292.0118314643586,282.3815360102222,100.0,289.6174654734763,332.967663714288,285.18418740350285
8,0.0001,292.01298895144066,282.3815360102222,1000.0,289.61841012998156,332.96766371633333,285.18418740388887
9,0.001,291.9623194035909,281.9709503943424,1e-05,289.57266399148017,332.1575573868124,284.5284269716698
10,0.001,291.9430186928383,282.18829045788283,0.0001,289.55619450647737,332.6166201738402,284.8500470282666
11,0.001,291.9435151329296,282.32707940541474,0.001,289.5562629541022,332.89832181629856,285.094889086696
12,0.001,291.9464483597774,282.3640138361146,0.01,289.5584718837421,332.94039705325764,285.13602055820763
13,0.001,291.9492586429101,282.3669151389497,0.1,289.56065212322636,332.9459146896362,285.14049461591435
14,0.001,291.9518115447699,282.3680274288775,1.0,289.5626688761188,332.9478112369736,285.14223548592776
15,0.001,291.9541598739046,282.36950502882183,10.0,289.5645514401438,332.9481473213893,285.1425324716137
16,0.001,291.95623546571744,282.36961602222215,100.0,289.5662157706956,332.94823461287945,285.1424938850286
17,0.001,291.95808043621764,282.36961602222226,1000.0,289.5676951756305,332.94823463333336,285.1424938888889
18,0.01,291.6915841718998,277.48280506054056,1e-05,289.33606342149164,325.88128953154745,279.4468739390514
19,0.01,291.57931106697083,280.30943118261126,0.0001,289.23791847934984,329.77026763262444,282.08484738862956
20,0.01,291.56360624087984,281.82571566298043,0.001,289.2220345139645,332.2608098229394,284.2549168299012
21,0.01,291.5642435717628,282.1945375987734,0.01,289.2202839454499,332.6761168513274,284.6616075102561
22,0.01,291.5666259789046,282.14435824632466,0.1,289.2204289538631,332.73118577706725,284.70625051618276
23,0.01,291.56954177965383,282.13975762354454,1.0,289.2213549242117,332.75007048094454,284.7235784496498
24,0.01,291.57295616009657,282.1651235889187,10.0,289.222959784702,332.75332159076277,284.72643169811084
25,0.01,291.5761310006271,282.16623370370223,100.0,289.2244623845578,332.7541881287027,284.7260388502857
26,0.01,291.57907066778495,282.1662337037037,1000.0,289.2258536807206,332.75418833333333,284.72603888888887
27,0.1,290.1043281427722,238.30765915497315,1e-05,287.99536262743896,272.76185268695394,236.47210242458772
28,0.1,289.370319431201,259.65718795614197,0.0001,287.3648537305908,304.332807699527,257.608197085144
29,0.1,289.20640563950036,277.0585969904903,0.001,287.20643602092986,326.0676641431486,276.0787569722262
30,0.1,289.153600921628,280.28477154785463,0.01,287.14444977536846,329.5277621756567,279.5268797021968
31,0.1,289.11595193242135,280.3322617586067,0.1,287.09881563332476,329.91685550468094,279.8326316996506
32,0.1,289.08553970423924,280.43502223733174,1.0,287.0614789743026,330.16192045583335,280.05812560189986
33,0.1,289.0622078347218,280.6448194500609,10.0,287.03152287578763,330.39521707843716,280.25179621168047
34,0.1,289.04037945455025,280.64492240753503,100.0,287.0034334293179,330.4161607309668,280.25801406055655
35,0.1,289.01976376216595,280.64492379638,1000.0,286.97690450765214,330.41616277777774,280.2580144444444
36,1.0,284.91264974518225,119.57326150717373,1e-05,283.22337796808506,140.22582456658347,120.19848029431346
37,1.0,281.4145342887458,135.2764004942382,0.0001,280.1291807096788,163.7010623323383,129.59010822002602
38,1.0,280.03987955241786,237.2536184558172,0.001,278.86814106812824,269.55575062351056,207.07372473693152
39,1.0,279.34001201630156,264.664883828938,0.01,278.1390482911926,298.4518752764316,232.06992279339966
40,1.0,278.7499924978744,266.39665456150453,0.1,277.5251160692341,303.24926615826433,235.31579200171691
41,1.0,278.2239538481102,267.20571103131743,1.0,276.97555423815146,305.2380715150929,237.04065570133545
42,1.0,277.7592066324788,267.95460113512377,10.0,276.485278674438,306.55279174157266,238.01901410668566
43,1.0,277.31693880373984,268.0081082940154,100.0,276.01845617862483,306.7562233442065,238.07236764907685
44,1.0,276.89432732294495,268.0081082931922,1000.0,275.5723813492922,306.7562730791641,238.0723943326357
45,10.0,272.29900689342804,61.075146658544014,1e-05,271.0925537727289,78.2435725465761,64.11426472840809
46,10.0,267.6518217394127,52.63906612694679,0.0001,266.5333659848262,51.50617856380909,33.63965772105156
47,10.0,263.7350779858713,108.45391576720583,0.001,262.7582618785106,89.87583431389959,31.477933556029086
48,10.0,260.65639893392415,186.2602206041015,0.01,259.74127044616336,143.10969348613966,47.87811026537117
49,10.0,257.86405624961066,193.85680327689187,0.1,257.00832386928255,166.60042236468263,50.849067943898696
50,10.0,255.25186451301616,197.94565526733146,1.0,254.45718141548642,176.20580829530925,53.05206894562503
51,10.0,252.7741831739102,204.53612672001105,10.0,252.03341151337852,185.39256859814984,54.35514241487444
52,10.0,250.39231015038862,205.02478461956275,100.0,249.7020614600684,186.99844946513258,54.50386099487737
53,10.0,248.09865471453122,205.02476474684934,1000.0,247.45705770807356,186.99861046616246,54.503873850803835
54,100.0,244.45085374016648,47.50744158253866,1e-05,243.78835613565434,51.02209109470684,39.15774278405295
55,100.0,240.6152126478224,26.90698633250378,0.0001,240.02702178614766,23.66036584930362,8.278446878740954
56,100.0,237.25008085691192,70.36813836872916,0.001,236.74958295454906,55.083331028054715,2.9872250407790184
57,100.0,234.37750574199364,128.11802123190262,0.01,234.01141029922132,91.91026404133025,1.7704167081702855
