,cv_mse,ext_val_mse,max_depth,n_estimators,rcv_mse,test_mse,train_mse
0,10.850071289413666,8.20617200617983,5.0,10,11.312061038648578,10.222747255226857,5.755448520464004
1,10.36560258703135,9.330658937203372,5.0,50,10.927655261146203,11.284354934760662,6.299325317218245
2,10.13271531327542,8.91835387378551,5.0,100,10.736479413663186,11.022864500366218,6.150734938913022
3,9.99641378730938,8.885627282329997,5.0,150,10.602391418088079,11.041907088650898,6.268445034287075
4,9.958414434176422,8.936705982116507,5.0,200,10.51877281813687,11.353299883769441,6.333140657892409
5,9.921156349305871,8.936616937102974,5.0,500,10.476707477229404,11.242152974637879,6.39449892772335
6,9.888396022769596,8.853467464397587,5.0,750,10.455875831916254,11.073547932989527,6.37051195809435
7,9.865466271219098,8.845236801089438,5.0,1000,10.438582160349364,11.164727317995753,6.381346183177002
8,9.599506988005967,7.051197905848634,10.0,10,10.111001679002497,8.11987631523271,2.177034828898603
9,9.27387592163381,6.150824744450698,10.0,50,9.790101721921813,6.268962459854655,1.8029759818036857
10,8.975417894099504,6.048921418067127,10.0,100,9.52397114084528,6.156470082897863,1.722293633416317
11,8.70944789010237,5.953187093175453,10.0,150,9.296565033021897,6.180977681440907,1.7094059727822084
12,8.487650701227137,5.950854364000321,10.0,200,9.097072469896123,6.25772531033775,1.7252107094595148
13,8.295056282145353,5.931721051777359,10.0,500,8.918493263875726,6.051532161666381,1.7324882104208328
14,8.128365386394686,5.80902456884375,10.0,750,8.771869996451738,5.895983332017377,1.7014207370753298
15,7.9840000623861185,5.8739550264930935,10.0,1000,8.642645644455751,5.9843454243358725,1.7227613450764196
16,7.940462537814387,6.439296519333323,20.0,10,8.577440567061993,7.241486148333325,2.0367232020416615
17,7.8423914435559965,5.998664228573345,20.0,50,8.486603656356436,5.983428455480015,1.6947159775733474
18,7.737841781821206,5.860453225876672,20.0,100,8.400230141940158,5.86175558323175,1.6055936238274997
19,7.63365527607481,5.792855650608845,20.0,150,8.316026582087328,5.954423662594172,1.5950045189683222
20,7.540753012715616,5.704989344077542,20.0,200,8.234878044599064,6.02833263076966,1.5931820923641529
21,7.4559550640383145,5.75239915867039,20.0,500,8.159103150518584,5.943306589998388,1.5949196971922472
22,7.379116020857305,5.691032022858725,20.0,750,8.094761874739042,5.823293007307669,1.5704429123152746
23,7.308965071709656,5.749312476090776,20.0,1000,8.035159054019324,5.914222384096081,1.5880892296032878
24,7.306360954627936,6.439296519333323,30.0,10,8.015119065009028,7.241486148333325,2.0367232020416615
25,7.262854104110068,5.998664228573345,30.0,50,7.973859723061063,5.983428455480015,1.6947159775733474
26,7.210746465831733,5.860453225876672,30.0,100,7.932068877112399,5.86175558323175,1.6055936238274997
27,7.155152365869646,5.792855650608845,30.0,150,7.888643522389943,5.954423662594172,1.5950045189683222
28,7.1043784134441985,5.704989344077542,30.0,200,7.844618135232831,6.02833263076966,1.5931820923641529
29,7.056739071056557,5.75239915867039,30.0,500,7.802058543219354,5.943306589998388,1.5949196971922472
30,7.01260739363135,5.691032022858725,30.0,750,7.765839035618377,5.823293007307669,1.5704429123152746
31,6.971447576371425,5.749312476090776,30.0,1000,7.731415758801111,5.914222384096081,1.5880892296032878
32,6.979702563289461,6.439296519333323,,10,7.725438291224164,7.241486148333325,2.0367232020416615
33,6.956040218521048,5.998664228573345,,50,7.702407052492922,5.983428455480015,1.6947159775733474
34,6.924609008580303,5.860453225876672,,100,7.677924190491615,5.86175558323175,1.6055936238274997
35,6.889317415755664,5.792855650608845,,150,7.651208489224725,5.954423662594172,1.5950045189683222
36,6.85670634358745,5.704989344077542,,200,7.6231192677547,6.02833263076966,1.5931820923641529
37,6.825614022488174,5.75239915867039,,500,7.595348507414536,5.943306589998388,1.5949196971922472
38,6.79646128013912,5.691032022858725,,750,7.571858899726705,5.823293007307669,1.5704429123152746
39,6.768937079168486,5.749312476090776,,1000,7.549169781670184,5.914222384096081,1.5880892296032878
