,C,cv_mse,ext_val_mse,gamma,train_mse,rcv_mse,test_mse
0,0.0001,47.1678295,59.18365882,1.00E-05,44.68902156,44.50571543,42.66165279
1,0.0001,47.16930281,59.18957413,0.0001,44.69392052,44.50731227,42.66767907
2,0.0001,47.17019959,59.19089026,0.001,44.695509,44.5082586,42.6689517
3,0.0001,47.17125569,59.19236871,0.01,44.69789377,44.50927103,42.67210887
4,0.0001,47.17221779,59.19329566,0.1,44.69909965,44.51009488,42.67328612
5,0.0001,47.17290788,59.19370847,1,44.6993731,44.51065333,42.67352702
6,0.0001,47.17343012,59.19389876,10,44.69950091,44.51105854,42.67359203
7,0.0001,47.173832,59.19401676,100,44.69962966,44.51136601,42.67374287
8,0.0001,47.17414866,59.19414293,1000,44.69977433,44.51160814,42.6739541
9,0.001,47.16321981,59.08380062,1.00E-05,44.57522357,44.50308248,42.54466102
10,0.001,47.15804904,59.14104866,0.0001,44.62386111,44.49854721,42.60494619
11,0.001,47.1547714,59.15236664,0.001,44.63888558,44.49582995,42.6164829
12,0.001,47.15386234,59.16706377,0.01,44.66267406,44.49516998,42.64798532
13,0.001,47.15425481,59.17722147,0.1,44.67471983,44.49537027,42.65974548
14,0.001,47.15479376,59.18258812,1,44.67745282,44.49557984,42.66215392
15,0.001,47.15539074,59.18379564,10,44.67872985,44.49579876,42.66280359
16,0.001,47.15596433,59.18466797,100,44.68001608,44.49601696,42.66431094
17,0.001,47.15649461,59.18592953,1000,44.68146177,44.49622584,42.66642222
18,0.01,47.09926811,58.13187079,1.00E-05,43.51754478,44.44948428,41.47460489
19,0.01,47.06236443,58.67398064,0.0001,43.92830658,44.42047486,41.97291955
20,0.01,47.0381627,58.77991897,0.001,44.10082623,44.40149624,42.13885288
21,0.01,47.0288968,58.91629402,0.01,44.30693026,44.39400646,42.39392025
22,0.01,47.02735534,59.03370127,0.1,44.42469123,44.39180803,42.50987982
23,0.01,47.02701616,59.09935267,1,44.44821182,44.39006047,42.52605241
24,0.01,47.02711136,59.10417486,10,44.46828768,44.38861725,42.54817596
25,0.01,47.02740005,59.10965889,100,44.47979362,44.38749485,42.5605735
26,0.01,47.02780331,59.12224792,1000,44.49874409,44.38655486,42.59125501
27,0.1,46.81066174,52.78656326,1.00E-05,38.71631339,44.18181941,37.42039326
28,0.1,46.65632346,55.43892036,0.0001,39.89852366,44.03094834,39.16639129
29,0.1,46.51979682,55.45581423,0.001,40.23144952,43.89538125,39.43042416
30,0.1,46.44469157,56.43486022,0.01,41.19859439,43.8224968,40.38939665
31,0.1,46.41302476,57.467714,0.1,42.16087928,43.78616034,41.25975607
32,0.1,46.39033895,57.99815788,1,42.47074589,43.75672501,41.65785393
33,0.1,46.37120009,58.21792216,10,42.57110667,43.73053131,41.73084774
34,0.1,46.35472131,58.3204058,100,42.6406414,43.70662513,41.7772334
35,0.1,46.34015863,58.4440218,1000,42.72094869,43.68477794,41.87239431
36,1,46.03727201,46.92396893,1.00E-05,33.56766476,43.41591746,33.79861103
37,1,45.73098501,46.7275162,0.0001,32.38724497,43.15334229,33.4929389
38,1,45.368674,44.41483212,0.001,29.22130092,42.83449528,31.6276149
39,1,45.03816628,44.90490187,0.01,26.50189712,42.54288122,30.91228706
40,1,44.80484821,46.64673846,0.1,27.44704797,42.33069801,33.0922558
41,1,44.59047933,49.47643851,1,28.09544723,42.1196532,35.75194572
42,1,44.38017425,50.67740595,10,28.14128851,41.91264157,36.12649707
43,1,44.18187729,51.64488954,100,28.41440663,41.71467866,36.41874747
44,1,43.99914889,52.51992359,1000,28.93598429,41.53081366,37.06410096
45,10,43.83257759,43.69041319,1.00E-05,32.46404007,41.39093141,33.61449565
46,10,43.57097536,39.50430934,0.0001,27.80212536,41.1626664,31.35955571
47,10,43.28494875,41.33364468,0.001,23.93464804,40.91611804,31.0067583
48,10,43.00827422,37.06825973,0.01,16.38023776,40.67469466,27.6495946
49,10,42.54279606,26.88122388,0.1,8.492409722,40.27092057,24.65389589
50,10,41.9833335,26.67146583,1,3.666461007,39.77510631,20.79543443
51,10,41.40096236,26.9888867,10,1.393871605,39.23254255,20.45642217
52,10,40.83141274,27.71677952,100,0.549832533,38.69574085,19.77148974
53,10,40.29469009,29.69455057,1000,0.548540524,38.18690645,20.90006707
54,100,40.14109649,40.16118638,1.00E-05,28.28835789,38.05137523,29.84103155
55,100,39.97914481,41.49034244,0.0001,25.62198404,37.91571996,32.79832869
56,100,39.89625851,44.64043931,0.001,20.46571801,37.8142411,33.29803505
57,100,39.71123871,36.21094071,0.01,13.22556035,37.65472544,37.49156232
58,100,39.28881741,20.94129006,0.1,4.474993379,37.32149392,28.33030071
59,100,38.82132753,22.195844,1,0.843889453,36.89723609,19.70343378
60,100,38.35805053,24.01421279,10,0.012855762,36.46903537,19.54310755
61,100,37.90835743,25.59598556,100,0.009982637,36.04968135,19.03525078
62,100,37.48286345,27.66801223,1000,0.009978005,35.65048992,20.17238639
63,1000,37.38000872,39.90637584,1.00E-05,26.92678079,35.5683757,31.42341706
64,1000,37.37209731,44.36296919,0.0001,23.23688645,35.52220727,33.97642415
65,1000,37.42559417,51.58234994,0.001,16.94365608,35.55195976,31.66444099
66,1000,37.52562224,65.75225236,0.01,8.333769777,35.67304238,61.45729845
67,1000,37.1486511,28.55438762,0.1,1.187275373,35.37289376,38.85087752
68,1000,36.78218596,27.37904049,1,0.031769312,35.02930079,20.13255124
69,1000,36.40765222,23.99456479,10,0.009945773,34.6828645,19.58172705
70,1000,36.04243287,25.59598556,100,0.009982637,34.34182537,19.03525078
71,1000,35.69604126,27.66801223,1000,0.009978005,34.01625309,20.17238639
72,10000,35.65028137,41.10988535,1.00E-05,25.56001833,34.08424567,34.96127154
73,10000,36.11734037,42.57649584,0.0001,20.77082141,34.09018932,35.79584862
74,10000,36.26460277,51.97360058,0.001,11.77807348,34.23102306,37.9675921
75,10000,37.02103186,187.4598807,0.01,2.241379033,34.48774204,146.2483369
76,10000,36.70857481,232.3713902,0.1,0.093035613,34.23668364,54.41930523
77,10000,36.39064389,27.30932006,1,0.010244699,33.94752827,20.53229386
78,10000,36.06373478,23.99456479,10,0.009945773,33.65425273,19.58172705
79,10000,35.74390157,25.59598556,100,0.009982637,33.36443815,19.03525078
80,10000,35.4396835,27.66801223,1000,0.009978005,33.08710707,20.17238639
