,cv_mse,ext_val_mse,max_depth,n_estimators,rcv_mse,test_mse,train_mse
0,12.183033201025204,8.942241286790734,5.0,10,11.58990324330976,11.163542978440342,8.827006858462646
1,11.839418911198432,10.071417699417253,5.0,50,11.279794688699765,11.798201593059035,9.148025849096875
2,11.652547651102662,9.82848791903744,5.0,100,11.127489748748928,11.659745114757893,8.868944134237362
3,11.517719597152432,9.848023570534533,5.0,150,11.042126392112767,11.678407467579069,8.87142173271428
4,11.442089882980502,9.725302481573904,5.0,200,10.972215541173176,11.72086815584506,8.912264268123971
5,11.388279686408339,9.450534039833347,5.0,500,10.930963014836601,11.538525987219545,8.830365145199757
6,11.356809819406292,9.395960010723458,5.0,750,10.911773639416833,11.483995571421751,8.784627221475061
7,11.333969295590132,9.287188668289565,5.0,1000,10.899103772815781,11.429812427593212,8.729115969771765
8,10.640766086380342,3.3962644933018042,10.0,10,10.21170106700466,4.763106154656599,1.575794617274051
9,9.994475969642094,2.9825774350004446,10.0,50,9.620900191796244,4.003423380471672,1.2788388923478327
10,9.451160061883346,2.9366240116403786,10.0,100,9.12611766761093,3.9948573023633696,1.2376106283109403
11,8.99655847284261,3.0348494423510277,10.0,150,8.712843800677552,4.052960157252042,1.2695176470526053
12,8.610123971864322,3.050607104296856,10.0,200,8.36067316666062,4.124381349284786,1.296808179695526
13,8.277053302761933,3.008804253068773,10.0,500,8.056264830845544,4.114289659926012,1.280623806811725
14,7.988245013397423,2.970593865345958,10.0,750,7.7933692352179,4.088839588619801,1.2719169344091361
15,7.735611861503829,2.913687335067143,10.0,1000,7.56434768426899,4.063923214114475,1.2517539960143953
16,7.546785621264427,3.0703377603333433,20.0,10,7.394521557262504,4.494814016055552,1.0863712746944458
17,7.3347810197752095,2.675020244355549,20.0,50,7.20339518595039,3.507084455382224,0.82498956510111
18,7.134081324455331,2.6663574594633235,20.0,100,7.025695472554127,3.4692555175194406,0.8015355969988822
19,6.9522142685348385,2.678658300183226,20.0,150,6.865035169933471,3.579965246679967,0.8007596330058622
20,6.786604785179622,2.6646594845981983,20.0,200,6.7184216546935,3.6330429346259097,0.7954201524244651
21,6.635490230016515,2.6816590198836616,20.0,500,6.583753877979033,3.6212042626112546,0.8046652539183201
22,6.497310119052561,2.6521791538115718,20.0,750,6.461595344601932,3.597604434062526,0.7984725756418679
23,6.371004396078814,2.615478325177537,20.0,1000,6.3505654479198546,3.567180716952057,0.7867076355432984
24,6.29697320900455,3.0703377603333433,30.0,10,6.28363497100941,4.494814016055552,1.0863712746944458
25,6.1982366408577505,2.675020244355549,30.0,50,6.194043121110758,3.507084455382224,0.82498956510111
26,6.099095697769315,2.6663574594633235,30.0,100,6.106378584455596,3.4692555175194406,0.8015355969988822
27,6.0062014603786045,2.678658300183226,30.0,150,6.024453971444361,3.579965246679967,0.8007596330058622
28,5.91893632095754,2.660789808248102,30.0,200,5.94727706961661,3.6313789885609076,0.7949385226864684
29,5.83710818944092,2.6785117315399503,30.0,500,5.874235662625077,3.6203263644945074,0.8041174841131992
30,5.760385274276753,2.6485728936361026,30.0,750,5.806503206989655,3.596780124381218,0.7977497015186514
31,5.688708399144013,2.6143009508717845,30.0,1000,5.743714630797087,3.56775234082053,0.7863255025385328
32,5.653299802782746,3.0703377603333433,,10,5.71139914274744,4.494814016055552,1.0863712746944458
33,5.596726939088777,2.675020244355549,,50,5.659718193656175,3.507084455382224,0.82498956510111
34,5.537432774471098,2.6663574594633235,,100,5.607357691878039,3.4692555175194406,0.8015355969988822
35,5.480783448814384,2.678658300183226,,150,5.557500239885344,3.579965246679967,0.8007596330058622
36,5.426586934445555,2.660789808248102,,200,5.509630606873296,3.6313789885609076,0.7949385226864684
37,5.374942340788012,2.6785117315399503,,500,5.463483350373226,3.6203263644945074,0.8041174841131992
38,5.325807865879391,2.6485728936361026,,750,5.4201768423617835,3.596780124381218,0.7977497015186514
39,5.279330800983133,2.6143009508717845,,1000,5.379604140523427,3.56775234082053,0.7863255025385328
