,C,cv_mse,ext_val_mse,gamma,train_mse,rcv_mse,test_mse
0,0.0001,50.06695049,51.10098791,1.00E-05,49.04127868,49.78209387,61.9058851
1,0.0001,50.06911443,51.10565389,0.0001,49.04712422,49.78380972,61.91390874
2,0.0001,50.07046551,51.1063586,0.001,49.0494214,49.7848007,61.91690575
3,0.0001,50.07203736,51.10854856,0.01,49.05273385,49.78596821,61.92177553
4,0.0001,50.0732231,51.10980283,0.1,49.05472362,49.78691377,61.92512532
5,0.0001,50.07409984,51.11025888,1,49.05536766,49.78762676,61.92629426
6,0.0001,50.07472239,51.11032855,10,49.05543518,49.78814019,61.92646939
7,0.0001,50.07518593,51.11040268,100,49.05544803,49.78852111,61.92651911
8,0.0001,50.07555248,51.11055473,1000,49.05551283,49.78882104,61.92658871
9,0.001,50.06298569,51.00853042,1.00E-05,48.89478325,49.77843455,61.70933894
10,0.001,50.05655178,51.05650426,0.0001,48.95283925,49.77305907,61.7892185
11,0.001,50.05266805,51.06347099,0.001,48.97586314,49.76961351,61.81903524
12,0.001,50.05213401,51.08532439,0.01,49.00886556,49.76876218,61.86786672
13,0.001,50.05254179,51.09785928,0.1,49.0286091,49.76890672,61.90118636
14,0.001,50.05324002,51.10241857,1,49.03504071,49.76936229,61.91286269
15,0.001,50.05383477,51.10311495,10,49.03571529,49.76977904,61.91461346
16,0.001,50.05434369,51.10385591,100,49.03584337,49.77012723,61.91511055
17,0.001,50.05482611,51.10537637,1000,49.03649102,49.77045506,61.91580647
18,0.01,49.99302347,50.18788609,1.00E-05,47.4162957,49.71571123,59.65268387
19,0.01,49.95681046,50.58589594,0.0001,48.04473755,49.68356852,60.56916866
20,0.01,49.93052381,50.64756802,0.001,48.2712676,49.66018705,60.8866338
21,0.01,49.92224041,50.8521816,0.01,48.57679903,49.65070262,61.33861703
22,0.01,49.91952569,50.97878494,0.1,48.76881793,49.64733059,61.66324488
23,0.01,49.91918089,51.02425961,1,48.83242571,49.6462712,61.77903328
24,0.01,49.9187647,51.03118953,10,48.83899512,49.64541271,61.79624975
25,0.01,49.91827014,51.03856693,100,48.84022581,49.64449244,61.80120472
26,0.01,49.91801234,51.05376903,1000,48.84667296,49.64376224,61.80815526
27,0.1,49.65540093,46.21161128,1.00E-05,41.16928797,49.4057269,50.15470238
28,0.1,49.45368354,47.79952129,0.0001,42.56746041,49.23184322,52.89467958
29,0.1,49.29081054,47.92939912,0.001,43.17729411,49.09597093,54.3262219
30,0.1,49.20677727,48.93054324,0.01,44.73814261,49.01791133,56.77754865
31,0.1,49.16121049,49.889546,0.1,46.16379942,48.97702616,59.21896155
32,0.1,49.13409716,50.2400553,1,46.68303283,48.95242428,60.18216862
33,0.1,49.10839881,50.30376288,10,46.74087265,48.9294341,60.32448282
34,0.1,49.08358143,50.3642412,100,46.78103084,48.9068158,60.41671728
35,0.1,49.06166425,50.50675466,1000,46.87392403,48.88635515,60.54246835
36,1,48.74694843,45.14440257,1.00E-05,37.05815258,48.59813791,40.21590448
37,1,48.43355877,43.33801122,0.0001,36.0611509,48.33135705,39.7364295
38,1,48.07024946,38.50175776,0.001,32.62990792,47.99417194,39.13417778
39,1,47.67441177,35.67178638,0.01,27.77040118,47.6208776,38.62792127
40,1,47.31912079,40.32556862,0.1,29.20488445,47.2903022,44.85348148
41,1,47.05060575,43.59416876,1,31.69254261,47.0398594,50.61183578
42,1,46.79659868,43.74397871,10,31.56298899,46.80206308,50.97435315
43,1,46.55102076,44.20912938,100,31.38473954,46.56876459,51.05336565
44,1,46.32546204,45.58922571,1000,31.75578045,46.35182554,51.53736373
45,10,46.1827275,43.06158841,1.00E-05,36.34581385,46.21503853,37.8007518
46,10,45.98438288,35.78333425,0.0001,32.22319091,46.02162416,35.37539068
47,10,45.77910101,28.73965138,0.001,25.11802742,45.88569893,31.68422444
48,10,45.38226979,34.95485299,0.01,15.99670278,45.46512326,27.32314165
49,10,44.7926188,28.89890002,0.1,7.547505089,44.85029714,25.66286738
50,10,44.23612483,38.41807676,1,3.707831541,44.27571557,31.90039463
51,10,43.67153232,30.62989711,10,1.330474105,43.71044377,30.47688257
52,10,43.12131146,28.41093719,100,0.797893886,43.15881917,29.6621083
53,10,42.60539657,31.11214395,1000,0.78752053,42.63728418,30.85244118
54,100,42.52348413,37.53778409,1.00E-05,32.38210297,42.55472571,34.18383098
55,100,42.42637136,32.339591,0.0001,27.70584421,42.52263104,29.74354879
56,100,42.44786334,28.69967572,0.001,21.70622804,42.54759992,30.21616883
57,100,42.13856963,42.67422231,0.01,10.30316059,42.20640773,28.93783812
