,cv_mse,ext_val_mse,max_depth,n_estimators,rcv_mse,test_mse,train_mse
0,90.00628164312374,170.05300140837798,5.0,10,53.44893049229894,151.17520564277464,32.95102992737074
1,85.18255075578513,187.01116334881394,5.0,50,50.80214153886073,154.4563206772965,34.81870833426879
2,82.89144002532754,182.955590078501,5.0,100,48.404899385309584,144.32610068732353,34.868251667941365
3,81.20119495129654,177.75227459530691,5.0,150,47.38642992955241,141.8184862786998,34.02238652279375
4,80.30166151890235,174.89333184903995,5.0,200,46.693647863024914,140.83422331562122,33.63372861253414
5,79.73676781726435,175.24615767685427,5.0,500,46.126677159649276,140.70385769850995,33.47110502330048
6,79.3582465832152,169.34519816928758,5.0,750,45.80383802804291,140.84957898590983,32.62263001446213
7,79.05284385485814,170.5706630395795,5.0,1000,45.56881087507297,139.00581458450816,32.64765953752666
8,79.31376364320724,159.2555659,10.0,10,46.25327225791319,175.14848965,29.1524830375
9,79.19504425918652,160.3018213720125,10.0,50,46.352403805461556,146.02310240212347,28.869857432708056
10,78.8056456239991,165.08903897666997,10.0,100,46.059715806966494,144.46016914791977,30.05954362468263
11,78.46311875719364,165.99964903329618,10.0,150,45.83589597445883,143.6522721180451,29.985607239510035
12,78.25025451476743,163.31424819934338,10.0,200,45.62200976107381,143.1993509186736,29.40763458227813
13,78.09551533377218,161.74917693964488,10.0,500,45.394983979787256,137.69752842702408,28.993736102341593
14,77.9402917803515,159.3076322421668,10.0,750,45.23993346191746,138.89588637757797,28.595837599711352
15,77.79934798766902,161.61382487711242,10.0,1000,45.11377363838085,138.30732783395442,28.788874709790143
16,78.01121704427673,159.2555659,20.0,10,45.50290280671139,175.14848965,29.1524830375
17,78.01762553087248,160.14376037200017,20.0,50,45.59966258900521,146.95781376600004,28.84087958800003
18,77.85429871524761,164.99869571100018,20.0,100,45.46982926741847,145.099508967,30.091473790750065
19,77.69644001082689,165.8962350324442,20.0,150,45.365031541231644,143.3529578668892,29.994819526055647
20,77.60383447849883,163.25905845199946,20.0,200,45.255099189572675,142.8553333501252,29.405398014406302
21,77.53901936231662,161.59945760467963,20.0,500,45.12733190271081,137.6448301812,28.965212542079836
22,77.46360593687193,158.8004044870944,20.0,750,45.037898608068375,138.6533499012169,28.52176088900659
23,77.38931563047772,161.20471206841242,20.0,1000,44.96224651028225,138.05460872585917,28.73562208263265
24,77.5497878832586,159.2555659,30.0,10,45.23291542987095,175.14848965,29.1524830375
25,77.57197180324866,160.14376037200017,30.0,50,45.31028710133746,146.95781376600004,28.84087958800003
26,77.47354381179501,164.99869571100018,30.0,100,45.22964052272708,145.099508967,30.091473790750065
27,77.37438598376066,165.8962350324442,30.0,150,45.16336317347549,143.3529578668892,29.994819526055647
28,77.3184321164564,163.25905845199946,30.0,200,45.09071106943816,142.8553333501252,29.405398014406302
29,77.28041444332422,161.59945760467963,30.0,500,45.00249466307727,137.6448301812,28.965212542079836
30,77.23280464118758,158.8004044870944,30.0,750,44.94016793607269,138.6533499012169,28.52176088900659
31,77.18429945188207,161.20471206841242,30.0,1000,44.886482946232945,138.05460872585917,28.73562208263265
32,77.31208195182502,159.2555659,,10,45.09383102361983,175.14848965,29.1524830375
33,77.33603747685959,160.14376037200017,,50,45.15708831374865,146.95781376600004,28.84087958800003
34,77.2668482927779,164.99869571100018,,100,45.09925234703747,145.099508967,30.091473790750065
35,77.19546707983498,165.8962350324442,,150,45.05132519138871,143.3529578668892,29.994819526055647
36,77.15644699205397,163.25905845199946,,200,44.9974097039564,142.8553333501252,29.405398014406302
37,77.13069580601282,161.59945760467963,,500,44.93022047171048,137.6448301812,28.965212542079836
38,77.09669105655323,158.8004044870944,,750,44.88253189874188,138.6533499012169,28.52176088900659
39,77.06128974472468,161.20471206841242,,1000,44.84102480780336,138.05460872585917,28.73562208263265
