,C,cv_mse,ext_val_mse,gamma,train_mse,rcv_mse,test_mse
0,0.0001,299.6752754,243.9258949,1.00E-05,293.8292332,303.3017748,289.6817705
1,0.0001,299.6816253,243.9394927,0.0001,293.8502598,303.3085622,289.7178023
2,0.0001,299.6880699,243.9522982,0.001,293.8677366,303.3145769,289.735624
3,0.0001,299.691896,243.9541281,0.01,293.869859,303.3181617,289.737099
4,0.0001,299.6942122,243.9542866,0.1,293.8699128,303.3203302,289.7368793
5,0.0001,299.6957728,243.9544228,1,293.8700441,303.3217836,289.736951
6,0.0001,299.696913,243.9546866,10,293.870269,303.3228374,289.7371137
7,0.0001,299.6977724,243.9547157,100,293.8702894,303.3236291,289.7371232
8,0.0001,299.6984408,243.9547157,1000,293.8702894,303.3242449,289.7371232
9,0.001,299.6670575,243.6527594,1.00E-05,293.4157863,303.2942347,289.1607229
10,0.001,299.6529128,243.7885949,0.0001,293.6254687,303.2819981,289.5202592
11,0.001,299.6519359,243.9165876,0.001,293.8001516,303.2811784,289.6984059
12,0.001,299.6529666,243.9348833,0.01,293.8213675,303.2822612,289.7131519
13,0.001,299.6539235,243.9364675,0.1,293.8219047,303.2832522,289.7109545
14,0.001,299.6548181,243.9378291,1,293.8232177,303.2841419,289.7116711
15,0.001,299.6557131,243.9404672,10,293.8254663,303.2849892,289.7132985
16,0.001,299.6565224,243.9407578,100,293.8256704,303.285743,289.7133939
17,0.001,299.6572417,243.9407578,1000,293.8256704,303.2864131,289.7133939
18,0.01,299.4781943,240.2875131,1.00E-05,289.7805831,303.1280721,284.7462581
19,0.01,299.3863557,242.0686147,0.0001,291.4148599,303.0520243,287.5973814
20,0.01,299.3700913,243.5600699,0.001,293.1255521,303.0366161,289.3268011
21,0.01,299.3662397,243.7426164,0.01,293.3369372,303.0330917,289.4738641
22,0.01,299.3631686,243.7584209,0.1,293.3422691,303.0302566,289.4518751
23,0.01,299.360761,243.7720224,1,293.3553741,303.0278487,289.4590322
24,0.01,299.3592628,243.7983779,10,293.3778231,303.0260716,289.4752915
25,0.01,299.3580076,243.8012831,100,293.3798624,303.0244723,289.476245
26,0.01,299.3568455,243.8012833,1000,293.3798625,303.0229914,289.476245
27,0.1,298.276557,214.9504026,1.00E-05,261.0260308,302.001419,250.8638905
28,0.1,297.6756208,227.0445884,0.0001,272.9884523,301.4433426,271.5486404
29,0.1,297.5089194,238.9667572,0.001,285.7203503,301.3064399,284.34782
30,0.1,297.4314249,241.43601,0.01,288.1657494,301.250144,286.4869342
31,0.1,297.3619611,241.693491,0.1,288.3012024,301.2000092,286.4028502
