,C,cv_mse,ext_val_mse,gamma,train_mse,rcv_mse,test_mse
0,0.0001,364.6748047,317.602046,1.00E-05,315.8353055,351.4287519,340.4875717
1,0.0001,364.6834379,317.6114514,0.0001,315.851181,351.4379847,340.5000739
2,0.0001,364.6905332,317.6236843,0.001,315.863967,351.444973,340.5086475
3,0.0001,364.6945716,317.6253234,0.01,315.8656221,351.4489135,340.5091046
4,0.0001,364.6970208,317.6254634,0.1,315.8652452,351.4512926,340.5075097
5,0.0001,364.6986683,317.6256231,1,315.8652079,351.4528913,340.5071451
6,0.0001,364.6998568,317.6258783,10,315.8653799,351.4540462,340.5074162
7,0.0001,364.7007482,317.6258837,100,315.8653837,351.4549124,340.5074238
8,0.0001,364.7014416,317.6258837,1000,315.8653837,351.4555862,340.5074238
9,0.001,364.6657155,317.3644486,1.00E-05,315.5155918,351.4198279,340.2841972
10,0.001,364.6521654,317.4583643,0.0001,315.6741874,351.4073417,340.4090521
11,0.001,364.6514147,317.5806614,0.001,315.8019586,351.4067097,340.4947261
12,0.001,364.6522894,317.5970509,0.01,315.8185038,351.4075483,340.4992948
13,0.001,364.6531324,317.5984514,0.1,315.8147317,351.4083197,340.4833438
14,0.001,364.6539221,317.6000478,1,315.8143588,351.4090392,340.4796977
15,0.001,364.6546639,317.6026001,10,315.8160779,351.409725,340.4824091
16,0.001,364.6553189,317.6026536,100,315.8161159,351.4103308,340.4824843
17,0.001,364.6559012,317.6026536,1000,315.8161159,351.4108693,340.4824843
18,0.01,364.4682506,315.0056763,1.00E-05,312.0992191,351.2210317,337.37923
19,0.01,364.3827577,315.9309977,0.0001,313.7600703,351.1419768,338.9426025
20,0.01,364.3658924,317.150747,0.001,315.1723979,351.1260963,340.3162466
21,0.01,364.3594736,317.3145514,0.01,315.3480545,351.119767,340.4015303
22,0.01,364.3541803,317.3285475,0.1,315.3100596,351.1143075,340.2418772
23,0.01,364.3496971,317.3444917,1,315.3062961,351.1096214,340.205419
24,0.01,364.3458976,317.3699895,10,315.3234577,351.1056703,340.2325162
25,0.01,364.3423938,317.3705233,100,315.3238367,351.102027,340.2332683
26,0.01,364.3391496,317.3705233,1000,315.3238367,351.0986537,340.2332683
