,C,cv_mse,ext_val_mse,gamma,train_mse,rcv_mse,test_mse
0,0.0001,49.81091333,58.93679104,1.00E-05,55.63497783,47.83142311,52.19971715
1,0.0001,49.81065238,58.93656973,0.0001,55.63548585,47.83134896,52.19973535
2,0.0001,49.81054818,58.93591763,0.001,55.63541409,47.83125566,52.19934688
3,0.0001,49.81049044,58.93424712,0.01,55.63538342,47.83116042,52.19930242
4,0.0001,49.81045588,58.93387042,0.1,55.63574658,47.83110887,52.20007859
5,0.0001,49.81045329,58.93385846,1,55.63586431,47.83109716,52.20013886
6,0.0001,49.8104591,58.93385846,10,55.63586255,47.83109729,52.20006929
7,0.0001,49.81046346,58.93385846,100,55.63585476,47.83109739,52.20004282
8,0.0001,49.81046685,58.93385846,1000,55.63585476,47.83109747,52.20004282
9,0.001,49.80974826,58.95608277,1.00E-05,55.60890076,47.83079074,52.18539963
10,0.001,49.80868677,58.95386664,0.0001,55.61397421,47.83040503,52.18557724
11,0.001,49.80775883,58.94733934,0.001,55.6132545,47.82991218,52.18169174
12,0.001,49.80695585,58.93049769,0.01,55.61294721,47.82934573,52.18124679
13,0.001,49.80626782,58.92683508,0.1,55.61657812,47.82888007,52.18900745
14,0.001,49.80575331,58.92674545,1,55.61775512,47.82856706,52.18961009
15,0.001,49.80533662,58.92674545,10,55.61773741,47.82833034,52.18891429
16,0.001,49.80496895,58.92674545,100,55.61765953,47.82812148,52.18864955
17,0.001,49.80464213,58.92674545,1000,55.61765953,47.82793582,52.18864955
18,0.01,49.8005783,59.15019176,1.00E-05,55.3495135,47.82616955,52.04304233
19,0.01,49.79436584,59.12772428,0.0001,55.3995807,47.82378667,52.04437195
20,0.01,49.78847895,59.06181786,0.001,55.3921631,47.82066431,52.00544293
21,0.01,49.78299439,58.87718315,0.01,55.38903096,47.81698797,52.00096106
22,0.01,49.777987,58.85575532,0.1,55.42279063,47.81374536,52.12789216
23,0.01,49.77390496,58.85566885,1,55.4344282,47.81133539,52.13574328
24,0.01,49.77036331,58.85566885,10,55.43424421,47.80935551,52.12878321
25,0.01,49.7670941,58.85566885,100,55.43346613,47.80752793,52.12613675
26,0.01,49.76406705,58.85566885,1000,55.43346613,47.80583573,52.12613675
27,0.1,49.74211514,60.55952916,1.00E-05,52.89403207,47.79026475,50.69609217
28,0.1,49.71167599,60.95515518,0.0001,53.32792468,47.77411556,50.66990486
29,0.1,49.67429387,60.21506236,0.001,53.23939475,47.75440845,50.27352396
30,0.1,49.63432742,58.37433975,0.01,53.18676241,47.72857993,50.28675253
31,0.1,49.59645821,58.22211183,0.1,53.51441474,47.70424633,51.61088151
32,0.1,49.56433409,58.2221848,1,53.62647768,47.68518574,51.70791682
33,0.1,49.53562916,58.2221848,10,53.62388916,47.66894648,51.63821348
34,0.1,49.50856452,58.2221848,100,53.61618534,47.65363518,51.61182491
35,0.1,49.48300347,58.2221848,1000,53.61618534,47.63917451,51.6118249
36,1,49.45555516,65.23256847,1.00E-05,41.6998398,47.59914339,37.41624901
