,C,cv_mse,ext_val_mse,gamma,train_mse,rcv_mse,test_mse
0,0.0001,328.5538083,313.332804,1.00E-05,327.4663936,317.2082145,334.361496
1,0.0001,328.5565799,313.3391554,0.0001,327.4712193,317.2100024,334.3671898
2,0.0001,328.5586966,313.3436761,0.001,327.4746783,317.2115054,334.3741567
3,0.0001,328.559802,313.343551,0.01,327.4747878,317.2123025,334.3744132
4,0.0001,328.5605202,313.3435502,0.1,327.4750321,317.2128448,334.3744429
5,0.0001,328.5610186,313.3435502,1,327.4751697,317.2132299,334.3745071
6,0.0001,328.5613852,313.3435502,10,327.4753137,317.213519,334.3746511
7,0.0001,328.5616604,313.3435502,100,327.4753178,317.2137362,334.3746552
8,0.0001,328.5618745,313.3435502,1000,327.4753178,317.2139052,334.3746552
9,0.001,328.5480039,313.218708,1.00E-05,327.3361931,317.2038049,334.2231294
10,0.001,328.5416917,313.2821938,0.0001,327.3844179,317.1987904,334.2800328
11,0.001,328.5394129,313.3273973,0.001,327.4190028,317.196879,334.349695
12,0.001,328.5376293,313.3261465,0.01,327.4200975,317.195402,334.3522596
13,0.001,328.536297,313.3261382,0.1,327.4225403,317.1943646,334.352557
14,0.001,328.5352205,313.3261382,1,327.4239165,317.1935598,334.3531985
15,0.001,328.5343251,313.3261382,10,327.4253563,317.1929171,334.3546383
16,0.001,328.5335363,313.3261382,100,327.4253967,317.1923516,334.3546787
17,0.001,328.5328352,313.3261382,1000,327.4253967,317.1918489,334.3546787
18,0.01,328.4595651,312.0810488,1.00E-05,326.0383771,317.1386041,332.8439089
19,0.01,328.4201958,312.7130684,0.0001,326.5173508,317.1075659,333.409455
20,0.01,328.4015642,313.1647291,0.001,326.862717,317.0924246,334.1053813
21,0.01,328.3854802,313.1522077,0.01,326.8736608,317.0794893,334.1309916
22,0.01,328.3719899,313.152125,0.1,326.8980674,317.0690688,334.1339658
23,0.01,328.3601118,313.152125,1,326.9118018,317.0601051,334.1403568
24,0.01,328.3494816,313.152125,10,326.9261565,317.0522514,334.1547115
25,0.01,328.339677,313.152125,100,326.92656,317.0450124,334.155115
26,0.01,328.3305988,313.152125,1000,326.92656,317.0383097,334.155115
27,0.1,327.8810785,300.7901582,1.00E-05,313.2747106,316.690763,319.5219587
28,0.1,327.5886842,307.0708158,0.0001,317.9413801,316.4488977,324.8028718
29,0.1,327.4429744,311.5500325,0.001,321.3467967,316.3266187,331.6925228
30,0.1,327.3126799,311.4235119,0.01,321.4559126,316.2209112,331.9450593
31,0.1,327.1990472,311.422685,0.1,321.6978663,316.1317237,331.9748818
32,0.1,327.0958109,311.422685,1,321.8324618,316.0521727,332.0363719
33,0.1,327.0007987,311.422685,10,321.9716796,315.9801434,332.1755896
34,0.1,326.9112749,311.422685,100,321.975615,315.9123082,332.179525
35,0.1,326.8267246,311.422685,1000,321.975615,315.8482415,332.179525
36,1,323.9806604,216.5815597,1.00E-05,225.3478732,313.4416953,230.1090004
37,1,322.0783927,256.8048088,0.0001,243.4858142,311.7429501,252.6520945
38,1,320.9549434,296.601571,0.001,270.8841659,310.7338725,310.5963723
39,1,319.9409027,295.2057549,0.01,271.9392955,309.8305728,312.7761387
40,1,319.0371064,295.197485,0.1,274.1475928,309.0416065,313.0658389
41,1,318.2007592,295.197485,1,275.2186542,308.3190731,313.4386646
42,1,317.4174007,295.197485,10,276.177931,307.6478976,314.397941
43,1,316.670071,295.197485,100,276.2073338,307.0077572,314.4273438
44,1,315.955956,295.197485,1000,276.2073338,306.3960674,314.4273438
45,10,311.2708582,112.7558247,1.00E-05,77.64169871,302.1564339,68.55693989
46,10,306.5565964,101.0218095,0.0001,26.77253843,297.8774053,80.41235272
47,10,302.9284583,195.1258107,0.001,41.66028466,294.4657996,189.87918
48,10,299.5692775,191.8509002,0.01,44.66682408,291.3045258,204.8613772
49,10,296.4532566,192.8616288,0.1,46.28648884,288.3933924,204.9795279
50,10,293.5218,192.86088,1,47.72947815,285.6664642,204.9794641
51,10,290.7121327,191.5180252,10,47.65272325,283.0525181,205.0325761
