,C,cv_mse,ext_val_mse,gamma,train_mse,rcv_mse,test_mse
0,0.0001,53.60785399,45.96137427,1.00E-05,50.65331431,54.18527543,41.6233203
1,0.0001,53.61092402,45.96748026,0.0001,50.66165507,54.18735346,41.62943344
2,0.0001,53.61240794,45.96878076,0.001,50.66497257,54.18845738,41.63119093
3,0.0001,53.61380501,45.97186034,0.01,50.6690482,54.18937752,41.6332682
4,0.0001,53.61504283,45.97447762,0.1,50.67119468,54.19025566,41.63464536
5,0.0001,53.61599251,45.97529323,1,50.67177351,54.19090564,41.63511581
6,0.0001,53.61670167,45.97547924,10,50.67194716,54.19138299,41.63521022
7,0.0001,53.61724889,45.97550605,100,50.67196992,54.19175049,41.63525072
8,0.0001,53.61768797,45.97559793,1000,50.67203453,54.19204927,41.63531778
9,0.001,53.60442686,45.82741465,1.00E-05,50.46936702,54.18043959,41.51101699
10,0.001,53.59875008,45.88894982,0.0001,50.57192132,54.17571473,41.56865688
11,0.001,53.5951446,45.90185358,0.001,50.60417047,54.17272396,41.58488361
12,0.001,53.59388503,45.93257064,0.01,50.63207634,54.1713611,41.60660081
13,0.001,53.59421284,45.95872104,0.1,50.64708707,54.17131009,41.62098329
14,0.001,53.59484258,45.96687305,1,50.65282008,54.17161602,41.62571564
15,0.001,53.59552834,45.96873229,10,50.65455693,54.17194081,41.62665984
16,0.001,53.5962056,45.96899988,100,50.65478431,54.17227202,41.62706438
17,0.001,53.5968749,45.96991851,1000,50.6554299,54.17263114,41.62773471
18,0.01,53.53032047,44.54062563,1.00E-05,48.95506334,54.10817467,40.51468485
19,0.01,53.49355079,45.05292885,0.0001,49.70882238,54.07556489,40.99360771
20,0.01,53.46786876,45.18816168,0.001,49.96923869,54.05330764,41.14337262
21,0.01,53.45392993,45.53063186,0.01,50.16601219,54.03998687,41.35617128
22,0.01,53.45008787,45.80180295,0.1,50.38541757,54.03423321,41.48706627
23,0.01,53.44899354,45.8829096,1,50.44959688,54.03177404,41.53413325
24,0.01,53.44857394,45.90141619,10,50.46665777,54.030126,41.54341911
25,0.01,53.44859999,45.90404754,100,50.47347322,54.02919397,41.54658267
26,0.01,53.44916872,45.91321149,1000,50.4806894,54.02875822,41.55317543
27,0.1,53.19658895,39.10005232,1.00E-05,42.75302899,53.80415231,37.01701993
28,0.1,53.02603434,40.25171836,0.0001,44.28701544,53.65613987,38.1773931
29,0.1,52.86754738,40.30220908,0.001,44.54779064,53.52201057,38.36766966
30,0.1,52.75164637,41.88547231,0.01,45.7589937,53.41440434,39.19302101
31,0.1,52.70099621,44.09538722,0.1,47.6947138,53.35581934,40.24226556
32,0.1,52.66770865,44.90526364,1,48.30530646,53.31498479,40.6699131
33,0.1,52.63939144,45.08215352,10,48.43391441,53.2796576,40.75208727
34,0.1,52.61563132,45.16628691,100,48.53741815,53.2486427,40.77232543
35,0.1,52.59693655,45.28749041,1000,48.63398696,53.22344413,40.83411004
36,1,52.33151975,37.2484349,1.00E-05,40.08418991,52.98070456,35.31347019
37,1,52.03190991,34.49564785,0.0001,38.1001828,52.71290967,34.38320237
38,1,51.68594976,31.82900152,0.001,34.29457566,52.39556116,33.15976693
39,1,51.24708505,29.95741335,0.01,29.94906525,51.96311388,32.99384907
40,1,50.88820194,34.84067897,0.1,30.89683505,51.58921401,33.40641232
41,1,50.59877162,38.22883863,1,32.18533811,51.2797247,34.45030065
42,1,50.32827961,39.10305058,10,32.42073746,50.9913622,34.22157161
43,1,50.0663434,39.13721033,100,32.44363463,50.71430637,34.28300697
44,1,49.83034049,39.84639766,1000,32.91416788,50.46368001,34.71346669
45,10,49.65350116,34.02422877,1.00E-05,38.12425602,50.34263102,35.19398078
46,10,49.44105735,30.94637474,0.0001,34.16316636,50.18430832,34.36689323
47,10,49.14911966,29.27401752,0.001,28.74855763,49.88780586,33.06538855
48,10,48.73638993,30.83350793,0.01,20.20983937,49.47200233,36.9763709
49,10,48.19946822,30.30188627,0.1,12.52018809,48.91477021,32.56161263
50,10,47.5842758,30.06100895,1,6.31607373,48.31894178,26.39070864
51,10,46.9654355,21.94449112,10,1.724062795,47.72167626,18.92342325
52,10,46.35336254,18.95988982,100,0.732575607,47.13540014,19.10053979
53,10,45.77168046,20.73990725,1000,0.691756344,46.57542524,19.76612024
54,100,45.64793732,30.97397687,1.00E-05,34.34614307,46.48608186,33.96440997
55,100,45.52880061,27.90050253,0.0001,30.69472025,46.37710809,34.93546537
56,100,45.31615531,28.01472853,0.001,24.83374999,46.18834088,38.50787575
57,100,45.12563685,34.53808446,0.01,16.87633257,46.00592143,41.74245365
58,100,44.75998673,41.00878135,0.1,8.218419251,45.57680114,34.72060923
59,100,44.2753144,30.32578594,1,1.258093137,45.10868496,23.86875747
60,100,43.79564667,21.98516736,10,0.13985549,44.64565181,18.43995019
61,100,43.31800947,17.9058641,100,0.009964504,44.18958277,18.84323565
62,100,42.86289363,19.70781006,1000,0.009988166,43.75362305,19.5278776
63,1000,42.79103191,28.4106402,1.00E-05,31.60929306,43.68126085,34.67838246
64,1000,42.70443582,28.95737753,0.0001,28.99379342,43.6027788,39.11149466
65,1000,42.60870484,28.28966736,0.001,20.4455263,43.60836274,40.92967846
66,1000,42.91525482,72.70689805,0.01,11.48211896,43.72566432,45.93049696
67,1000,42.86001478,73.22050775,0.1,2.380309104,43.49566845,34.8608705
68,1000,42.46809348,31.99146462,1,0.205725469,43.11940016,23.41057331
69,1000,42.07533621,21.8988124,10,0.026044293,42.74234674,18.41549957
70,1000,41.68247429,17.9058641,100,0.009964504,42.37089637,18.84323565
71,1000,41.3069637,19.70781006,1000,0.009988166,42.01469116,19.5278776
72,10000,41.3034967,28.46744881,1.00E-05,30.35635758,42.01634122,39.19814124
73,10000,41.27903762,25.58354577,0.0001,23.51712022,42.02406754,35.52350638
74,10000,41.2546994,35.62202978,0.001,11.46151608,42.14314054,34.96739219
75,10000,42.86769383,40.14162495,0.01,4.748560999,43.24856792,43.07518968
76,10000,42.92795833,60.75641507,0.1,0.273636241,43.14311524,120.1522465
77,10000,42.5801975,32.06641426,1,0.105236992,42.81387225,23.71970826
78,10000,42.23095382,21.87533488,10,0.011186881,42.48359275,18.40822183
79,10000,41.88034365,17.9058641,100,0.009964504,42.15716498,18.84323565
80,10000,41.54411363,19.70781006,1000,0.009988166,41.84317678,19.5278776
