,C,cv_mse,ext_val_mse,gamma,train_mse,rcv_mse,test_mse
0,0.0001,64.41217456,56.52973736,1.00E-05,57.91063394,66.26013055,36.83796552
1,0.0001,64.41382433,56.53190963,0.0001,57.91671343,66.26395133,36.8394823
2,0.0001,64.41461927,56.53211127,0.001,57.91765624,66.26553515,36.84001791
3,0.0001,64.41546252,56.53222592,0.01,57.92013949,66.2670004,36.84013647
4,0.0001,64.41608121,56.533144,0.1,57.92115223,66.26805745,36.8405583
5,0.0001,64.4165273,56.53342252,1,57.92144298,66.26879521,36.84087487
6,0.0001,64.41685435,56.53335004,10,57.92144568,66.26932538,36.84095709
7,0.0001,64.41709563,56.53330849,100,57.92143195,66.26972132,36.84097576
8,0.0001,64.41728028,56.53327388,1000,57.92143584,66.27002911,36.84099546
9,0.001,64.40865647,56.4847458,1.00E-05,57.78950916,66.25602229,36.80417803
10,0.001,64.40459058,56.50640029,0.0001,57.84990679,66.2514829,36.81899939
11,0.001,64.40181267,56.50840298,0.001,57.85927936,66.24847282,36.82430342
12,0.001,64.40083213,56.50953901,0.01,57.88404655,66.24799487,36.82543576
13,0.001,64.40039396,56.5187158,0.1,57.89416766,66.24822015,36.82964925
14,0.001,64.40014853,56.52150082,1,57.89707413,66.24854762,36.83281417
15,0.001,64.39997052,56.52077513,10,57.89710087,66.2488481,36.83363618
16,0.001,64.39979459,56.52035898,100,57.89696346,66.24910531,36.83382283
17,0.001,64.39962317,56.52001286,1000,57.89700231,66.24933317,36.83401984
18,0.01,64.35413909,55.9989614,1.00E-05,56.6307503,66.18553155,36.51180133
19,0.01,64.32830754,56.22283915,0.0001,57.19499898,66.1562895,36.62537516
20,0.01,64.30894618,56.2556274,0.001,57.28317359,66.13396197,36.67320201
21,0.01,64.29952527,56.28340761,0.01,57.52431536,66.12572626,36.67920231
22,0.01,64.29334815,56.37477285,0.1,57.62489608,66.12204698,36.72085997
23,0.01,64.28851406,56.40260553,1,57.6538512,66.11949831,36.75242825
24,0.01,64.28429768,56.3952638,10,57.65409574,66.1172426,36.76062957
25,0.01,64.28028247,56.39103729,100,57.65271616,66.11510894,36.76249278
26,0.01,64.27646452,56.38757528,1000,57.65310069,66.11312862,36.76445964
27,0.1,64.05816378,53.11971488,1.00E-05,51.20240147,65.79532571,33.5490464
28,0.1,63.93793271,53.90005735,0.0001,53.59497957,65.61317028,34.58428363
29,0.1,63.82085229,53.98694981,0.001,53.55073971,65.45455691,34.91603409
30,0.1,63.74688696,54.02537313,0.01,54.29921189,65.36652319,35.15831092
31,0.1,63.69444204,54.90614472,0.1,55.0990928,65.31063452,35.60701657
32,0.1,63.64878814,55.20838948,1,55.35170459,65.26483115,35.92666773
33,0.1,63.60735306,55.15979054,10,55.26834723,65.22262124,36.05081074
34,0.1,63.56630156,55.08148842,100,55.25399542,65.18240918,36.06911466
35,0.1,63.52624268,55.04641023,1000,55.25744913,65.14442079,36.08846056
36,1,63.28999722,51.07276815,1.00E-05,44.47542564,64.80951112,35.2740205
37,1,63.06158435,51.14907773,0.0001,43.88253891,64.49326384,34.08983184
38,1,62.68440224,50.55674777,0.001,39.39715253,64.02617178,34.58151144
39,1,62.15884722,42.36064521,0.01,34.1976711,63.44956757,30.42129943
40,1,61.66728882,43.94786603,0.1,36.87935223,62.9369714,28.41495152
41,1,61.21215206,46.17090729,1,38.09050449,62.4731309,29.91113596
42,1,60.77748032,45.00883399,10,37.1124526,62.03336427,29.49751364
43,1,60.35490992,44.09739531,100,36.29414321,61.6108458,29.7823708
44,1,59.94471551,43.77765729,1000,36.20785364,61.20714892,30.05437461
45,10,59.97437404,45.3213538,1.00E-05,45.48021676,61.06912509,44.95397983
46,10,59.83072601,43.85757463,0.0001,39.29100905,60.77195647,46.53029976
47,10,59.41812269,37.06299582,0.001,28.57530887,60.25422938,43.95165506
48,10,58.65634876,25.20572562,0.01,15.48973512,59.48097702,26.37643876
49,10,57.82917435,29.9149132,0.1,9.039437675,58.61002608,22.11472853
50,10,56.97810445,33.12015301,1,5.126234454,57.70637513,18.46652937
51,10,56.136493,31.59328806,10,1.576168855,56.81419388,17.71213279
52,10,55.31089623,25.87195325,100,0.699513501,55.94874107,18.10166527
53,10,54.50901993,21.66459194,1000,0.48778155,55.11863598,18.59688382
54,100,54.48464018,41.45782563,1.00E-05,39.87888182,54.98062297,44.9149046
55,100,54.31683058,41.37152202,0.0001,31.56204319,54.72719509,59.37297202
56,100,53.97141087,34.20876448,0.001,23.05414911,54.39962741,37.65368369
57,100,53.42109629,33.09781191,0.01,12.02900794,53.84528693,27.27150245
58,100,52.81345701,29.71383422,0.1,5.235762652,53.21091612,21.15519831
59,100,52.1569308,33.20310626,1,0.955727117,52.51590884,15.69681532
60,100,51.50917558,31.7762126,10,0.11758143,51.8320276,17.65511538
61,100,50.8697761,26.00845089,100,0.009993525,51.16502832,18.06312158
62,100,50.24500028,21.81093746,1000,0.009967124,50.52201289,18.58299786
