,cv_mse,ext_val_mse,max_depth,n_estimators,rcv_mse,test_mse,train_mse
0,40.83415294728863,45.54396111618675,5.0,10,42.34089391580403,45.073447899863055,32.80699488634448
1,38.87746282755059,38.91659063963534,5.0,50,40.1904841907559,41.151378947186025,30.417455304684577
2,37.94537206361394,37.38042283345048,5.0,100,39.32322492115201,41.33620018159553,29.98353134117109
3,37.426024886773035,37.410630872915114,5.0,150,38.844325863784746,41.209206676345964,29.97568430991307
4,37.12353865168562,36.684973312967614,5.0,200,38.43156902639999,41.271680325526944,29.757583775557546
5,36.901378574835896,36.22447865049749,5.0,500,38.16949699353318,40.16925505250415,29.334642300193586
6,36.73767659820726,36.21143062217324,5.0,750,37.99686440043376,40.02767294062336,29.31703288906659
7,36.616000054218325,36.15851339006597,5.0,1000,37.8566521421288,39.924042616596246,29.28859129545497
8,34.5172858453384,27.48130360907631,10.0,10,35.84355076317289,21.75367838860646,7.766964555309111
9,32.581599482987144,23.217640333893183,10.0,50,33.94839447644935,18.19818950334117,6.325878784163762
10,30.922245162727787,22.81813150299376,10.0,100,32.4080084614103,18.479380460245267,6.2389204643783085
11,29.5431000990523,22.204333878510678,10.0,150,31.09441562800034,18.01803605567467,6.139717863226406
12,28.378495733047362,21.505009619665554,10.0,200,29.967340937515704,17.799282923387768,5.980656131127716
13,27.380671906721556,21.17787181312887,10.0,500,28.990366088505713,17.24466840183663,5.858558030581492
14,26.51366575997836,21.15385761565965,10.0,750,28.14937232733921,17.202524935246245,5.907700353803577
15,25.758100897377272,21.336720583296632,10.0,1000,27.409864071556633,17.104692464636376,5.943772079018689
16,25.294859537645927,28.042209009019906,20.0,10,26.885312333640606,20.823290495984505,7.231871764615909
17,24.705190338252518,24.311496181466104,20.0,50,26.2751586185718,17.08607381642507,5.649198617061044
18,24.124627945613195,23.09997157929927,20.0,100,25.72891825625511,17.147045340707365,5.381958698335587
19,23.6044406333008,22.023190031315533,20.0,150,25.22580414269389,16.23912162820295,5.13617144023423
20,23.135251217020876,21.62541847314319,20.0,200,24.76065011704769,16.20863867331083,5.052582822602308
21,22.713044722613052,21.108688761934822,20.0,500,24.340069718340466,15.905204186327298,4.948136765226536
22,22.328287541498867,21.06610275417194,20.0,750,23.957791329195445,15.856454653016423,4.96903170885159
23,21.977351363328598,21.18340513935843,20.0,1000,23.606579531325117,15.817178952588089,5.004491260473267
24,21.81452633746212,28.126727915192745,30.0,10,23.402015731151483,20.91912726882401,7.272113375958503
25,21.540377737343917,24.36820898254265,30.0,50,23.114167490786066,16.96081181514487,5.6484980872001325
26,21.249481923192292,23.095631081573927,30.0,100,22.84716016219493,17.078546237311503,5.376622195935467
27,20.981096274220697,22.021813686855463,30.0,150,22.591069769964616,16.19342206839418,5.133544129599684
28,20.732361990671897,21.586033251904322,30.0,200,22.345240432270295,16.13991861364215,5.045304360263487
29,20.502896192101574,21.04266722439225,30.0,500,22.11755817723555,15.885869575836457,4.939300580531051
30,20.288741973179143,21.01378009427186,30.0,750,21.905838387460307,15.83717140000888,4.961692629875027
31,20.08932816246472,21.1419242457865,30.0,1000,21.70684096275483,15.805949766455193,4.999681664011028
32,20.023188694410237,28.126727915192745,,10,21.60943622227693,20.91912726882401,7.272113375958503
33,19.866232048527255,24.36820898254265,,50,21.44203990637616,16.96081181514487,5.6484980872001325
34,19.689659440147906,23.095631081573927,,100,21.283837898160424,17.078546237311503,5.376622195935467
35,19.52424344881012,22.021813686855463,,150,21.128082100426692,16.19342206839418,5.133544129599684
36,19.36866395158027,21.586033251904322,,200,20.974945259248383,16.13991861364215,5.045304360263487
37,19.22339353268506,21.04266722439225,,500,20.83125650982679,15.885869575836457,4.939300580531051
38,19.085976144808672,21.01378009427186,,750,20.695948514554388,15.83717140000888,4.961692629875027
39,18.956514241946397,21.1419242457865,,1000,20.566997821612652,15.805949766455193,4.999681664011028
