,cv_mse,ext_val_mse,max_depth,n_estimators,rcv_mse,test_mse,train_mse
0,11.539682680066482,9.882463566405123,5.0,10,11.214945514535968,9.867523696678166,8.49263603125518
1,11.039831140160544,9.522076448727754,5.0,50,11.086409576566396,10.132331546425581,8.705215065001298
2,10.842307820346313,9.367548142806402,5.0,100,10.944147162225592,9.9314956397991,8.599756566827043
3,10.754249951123597,9.651914101334029,5.0,150,10.8970692463167,10.007097452031227,8.738357026993635
4,10.69565791820409,9.52524561566142,5.0,200,10.861877084656463,9.959019204821738,8.608336053972332
5,10.652131010015278,9.6463711753203,5.0,500,10.854608677501657,9.975254946516698,8.625450539451254
6,10.624435083048205,9.721180570144336,5.0,750,10.844457216860633,10.073434151705078,8.713353137450275
7,10.60509396484322,9.816126929327043,5.0,1000,10.843611349036527,10.197032281945805,8.78825651883883
8,9.957969412445904,4.0020686669031456,10.0,10,10.194600062482326,3.8414651031518567,1.6769945723638349
9,9.362183073173057,4.103427867180239,10.0,50,9.6259649351724,3.445863640713738,1.4061907625577423
10,8.873913933718146,4.27935853999044,10.0,100,9.147512268433298,3.450318128169827,1.3779897661963052
11,8.464763873035524,4.348846036715546,10.0,150,8.738495518754688,3.5042908039447562,1.4079562176742544
12,8.117245298794163,4.262060199247062,10.0,200,8.390589057234013,3.438491845523217,1.3872417887452644
13,7.816710244295577,4.127676461174754,10.0,500,8.096077411612763,3.432916567210399,1.3459317271304858
14,7.5569220456978625,4.18708998617118,10.0,750,7.840591268646616,3.41236546006207,1.3454993677534024
15,7.330437442725605,4.170790895574027,10.0,1000,7.617801048867856,3.4110587158082386,1.3498890675165363
16,7.140138408275243,3.6643524177777933,20.0,10,7.450239664651539,3.006450654666661,1.1501459940972238
17,6.943299543320291,3.9033704352622296,20.0,50,7.267522398626416,2.7383217919533247,0.9305164324272266
18,6.768656782137843,4.101290845897309,20.0,100,7.098378993341043,2.680978387034211,0.918349575203025
19,6.608234546682248,4.14290930315179,20.0,150,6.940423650409713,2.7632087383816524,0.9343882102307196
20,6.463180363848866,4.109796772340936,20.0,200,6.796868714054392,2.7163770377167022,0.9204233023368756
21,6.3300582255801325,3.8475981532807912,20.0,500,6.668013940231947,2.7367776928886083,0.8734230714620269
22,6.208838414824336,3.897577705134311,20.0,750,6.55078246349494,2.727894644612606,0.8802741498938464
23,6.098473278082627,3.876478720923187,20.0,1000,6.4435203085914114,2.721665200024371,0.8763564919677067
24,6.018348501242101,3.6643524177777933,30.0,10,6.3765497969353735,3.006450654666661,1.1501459940972238
25,5.925220438315204,3.8488551307955676,30.0,50,6.291214908303525,2.7455310546333282,0.9234199223838936
26,5.840142646747253,4.060425347507818,30.0,100,6.208292492178397,2.678705659293915,0.9126548765184879
27,5.758780587646542,4.114530748590071,30.0,150,6.127218868921112,2.761697769675352,0.9304069119082752
28,5.683063355368914,4.0892342219753575,30.0,200,6.051278104294683,2.715377666141296,0.9175265272585611
29,5.611477392982597,3.8400066738979914,30.0,500,5.981644896516072,2.7376608332687877,0.8722638312599811
30,5.544733390537473,3.8923293471224745,30.0,750,5.916819457916754,2.7279563939008913,0.8793192781673048
31,5.482719069381228,3.8716034138569317,30.0,1000,5.856196546736111,2.7214863507470213,0.8755130556878318
32,5.440677699311174,3.6643524177777933,,10,5.823259000386243,3.006450654666661,1.1501459940972238
33,5.386452439482691,3.8488551307955676,,50,5.774276167801569,2.7455310546333282,0.9234199223838936
34,5.336214371668345,4.060425347507818,,100,5.725077125090812,2.678705659293915,0.9126548765184879
35,5.28693077778665,4.114530748590071,,150,5.6754425116431335,2.761697769675352,0.9304069119082752
36,5.240337536538236,4.0892342219753575,,200,5.628131543619122,2.715377666141296,0.9175265272585611
37,5.195472982518267,3.8400066738979914,,500,5.584293394337996,2.7376608332687877,0.8722638312599811
38,5.15308683725328,3.8923293471224745,,750,5.542953981661054,2.7279563939008913,0.8793192781673048
39,5.113266544160389,3.8716034138569317,,1000,5.503802289622931,2.7214863507470213,0.8755130556878318
