,C,cv_mse,ext_val_mse,gamma,train_mse,rcv_mse,test_mse
0,0.0001,57.69599582,38.20158438,1.00E-05,52.94381261,62.40169345,57.97841709
1,0.0001,57.69661604,38.20365154,0.0001,52.9452414,62.40236822,57.97882171
2,0.0001,57.69712105,38.20459037,0.001,52.94585735,62.40293381,57.97940212
3,0.0001,57.69749024,38.20502963,0.01,52.94629466,62.40333985,57.97939898
4,0.0001,57.69773884,38.2055912,0.1,52.94644746,62.40363199,57.97997203
5,0.0001,57.69789716,38.20566125,1,52.94649891,62.40382862,57.98004671
6,0.0001,57.69801466,38.20566126,10,52.94654517,62.40397393,57.98012459
7,0.0001,57.69810333,38.20566126,100,52.94654999,62.4040835,57.98017006
8,0.0001,57.69817229,38.20566126,1000,52.94654999,62.40416873,57.98014802
9,0.001,57.69427289,38.16337204,1.00E-05,52.90205622,62.39958763,57.95760429
10,0.001,57.6922094,38.1840305,0.0001,52.9163318,62.39706541,57.96163702
11,0.001,57.69123485,38.1934159,0.001,52.92248422,62.39581453,57.9674303
12,0.001,57.69076897,38.19780682,0.01,52.92685407,62.39513502,57.96739532
13,0.001,57.69046632,38.20342215,0.1,52.92838046,62.39472582,57.9731246
14,0.001,57.69017441,38.20412288,1,52.92889492,62.39437867,57.97387146
15,0.001,57.68993828,38.2041229,10,52.92935742,62.39409615,57.97465013
16,0.001,57.68973249,38.2041229,100,52.92940563,62.39384967,57.97510482
17,0.001,57.68954956,38.2041229,1000,52.92940563,62.39363058,57.97488437
18,0.01,57.66844197,37.7830755,1.00E-05,52.48728811,62.36910054,57.75248348
19,0.01,57.65584689,37.98835138,0.0001,52.62881326,62.35371662,57.79146692
20,0.01,57.64867127,38.08191807,0.001,52.68962737,62.34462099,57.84832039
21,0.01,57.64425064,38.1256589,0.01,52.73300686,62.33857448,57.84760964
22,0.01,57.64080059,38.18177424,0.1,52.74810317,62.33410616,57.90478356
23,0.01,57.63745337,38.18879701,1,52.75324599,62.33005696,57.91224917
24,0.01,57.63449749,38.18879725,10,52.7578634,62.32646739,57.9200316
25,0.01,57.63178571,38.18879725,100,52.7583451,62.32317226,57.92457166
26,0.01,57.6292748,38.18879725,1000,52.7583451,62.32012122,57.9223682
27,0.1,57.48381533,36.78892452,1.00E-05,49.25010504,62.17210039,57.50377296
28,0.1,57.38161194,37.99933942,0.0001,50.30861376,62.06128628,57.33383641
29,0.1,57.31542332,37.64580658,0.001,50.60604704,61.98555407,57.77748118
30,0.1,57.27116276,37.41219628,0.01,50.88464613,61.9337509,57.92509194
31,0.1,57.23640923,37.96954776,0.1,50.96821264,61.89321878,57.85158574
32,0.1,57.20381751,38.04132975,1,51.01861252,61.85480654,57.91863156
33,0.1,57.17404678,38.04133225,10,51.06388747,61.81964408,57.99574251
34,0.1,57.14610117,38.04133225,100,51.06863916,61.7866267,58.04072553
35,0.1,57.1197081,38.04133225,1000,51.06863916,61.75544363,58.01838651
36,1,56.72755733,33.05500724,1.00E-05,36.29919366,61.38032546,47.82872379
37,1,56.37124477,35.43862508,0.0001,37.44573478,61.02653272,50.46998833
38,1,56.04475038,32.94760459,0.001,36.3145904,60.66795182,52.31589985
39,1,55.75111262,32.62728181,0.01,35.76527294,60.31358283,53.15903052
40,1,55.4672847,35.46058652,0.1,36.00819092,59.98471888,56.90573079
41,1,55.20324711,36.75391545,1,36.57476894,59.67701901,57.71508511
42,1,54.95790845,36.7539843,10,36.93928126,59.39053673,58.40977065
43,1,54.72465215,36.7539843,100,36.98076328,59.11809427,58.81356425
44,1,54.5017628,36.7539843,1000,36.98076328,58.85776036,58.56630284
45,10,54.3140201,35.42113756,1.00E-05,32.82219607,58.71589977,41.35376987
46,10,54.07024634,33.8032885,0.0001,26.81711365,58.48084849,44.65278669
47,10,53.66718039,25.31362689,0.001,15.530922,58.03168881,53.98771888
48,10,52.98732688,15.9017782,0.01,3.546881442,57.30915156,41.61648927
49,10,52.25152889,12.14865506,0.1,1.847913479,56.55825033,43.52410481
50,10,51.58031946,16.16619114,1,1.049840988,55.84128538,47.79261544
51,10,50.98973905,16.6888994,10,0.894607005,55.19835009,48.55768279
52,10,50.42993493,16.71838274,100,0.92583049,54.58826027,51.6413205
53,10,49.89086429,16.71838274,1000,0.92583049,54.00076637,51.07942588
54,100,49.7597034,27.64451406,1.00E-05,27.35007945,53.8876424,45.48275845
55,100,49.54562496,26.67396331,0.0001,16.61328983,53.68235231,55.41651328
56,100,49.11957032,27.77772981,0.001,3.714381483,53.29893425,50.95844034
57,100,48.55682085,16.06223825,0.01,1.184833626,52.73057132,40.40057989
58,100,47.99086757,12.39135456,0.1,0.015937301,52.15285809,42.77596833
59,100,47.47344326,16.36155159,1,0.009429105,51.59858924,48.00651679
60,100,47.01601678,16.75947459,10,0.009995068,51.10030173,48.69706944
61,100,46.58105614,16.82662278,100,0.010008914,50.62535118,51.91502156
62,100,46.15990389,16.82662278,1000,0.010009071,50.16547843,51.36501833
63,1000,46.03055474,23.08627763,1.00E-05,18.9320667,50.03826921,55.48114132
64,1000,45.80985357,18.46304362,0.0001,7.203712731,49.94786927,52.92845194
65,1000,45.47878514,28.48424073,0.001,1.250519609,49.65800825,55.10318492
66,1000,45.06470766,16.23933745,0.01,0.011175643,49.21822293,39.65395901
67,1000,44.62507283,12.39845211,0.1,0.009909599,48.76851881,42.78323019
68,1000,44.22391828,16.36155159,1,0.009429105,48.3355943,48.00651679
69,1000,43.87172556,16.75947459,10,0.009995068,47.94798653,48.69706944
70,1000,43.53618657,16.82662278,100,0.010008914,47.57763979,51.91502156
71,1000,43.2099682,16.82662278,1000,0.010009071,47.21758046,51.36501833
72,10000,43.12685322,21.92616523,1.00E-05,10.16384599,47.3878566,52.91013131
73,10000,43.00228212,28.04596293,0.0001,1.777624111,47.38417784,68.40714802
74,10000,42.79752698,28.76138736,0.001,0.247008924,47.16318587,388.6729022
75,10000,42.46779957,16.24198373,0.01,0.009996518,46.80829963,39.66681515
76,10000,42.11327671,12.39845211,0.1,0.009909599,46.44245604,42.78323019
77,10000,41.79061174,16.36155159,1,0.009429105,46.08930568,48.00651679
78,10000,41.50934359,16.75947459,10,0.009995068,45.77428979,48.69706944
79,10000,41.24108251,16.82662278,100,0.010008914,45.47277827,51.91502156
80,10000,40.97944525,16.82662278,1000,0.010009071,45.17871148,51.36501833
