,cv_mse,ext_val_mse,max_depth,n_estimators,rcv_mse,test_mse,train_mse
0,8.686886211689048,5.269233404811533,5.0,10,11.21484606013334,10.924960151740411,7.973211211678345
1,8.726848667436153,4.70797613204887,5.0,50,10.696088498267404,9.943200592942038,6.769982407208603
2,8.793326141276165,4.272984134782375,5.0,100,10.53581582895987,9.756663256205785,6.4326446429729405
3,8.790619667460389,4.401248740257012,5.0,150,10.492320232891624,9.640613227083445,6.574802156513852
4,8.786932166925892,4.427779592563796,5.0,200,10.466492439133736,9.520375315630032,6.567852351078376
5,8.784291131943254,4.351826079228706,5.0,500,10.450746780804648,9.46824112879912,6.4910478746920095
6,8.775497489109457,4.369605119835344,5.0,750,10.44261075760275,9.44675251154671,6.498407744424479
7,8.778036002472495,4.372395307629336,5.0,1000,10.442933052088359,9.515657917893325,6.5432345878031475
8,8.332098218915032,2.3789114007724104,10.0,10,10.142445849617141,5.57663014356056,2.3818547819678986
9,7.977419502976468,1.7345018114388984,10.0,50,9.78297566918034,5.864692050386363,1.258300123347685
10,7.6825236016554115,1.7653119505594674,10.0,100,9.475624561621636,5.9342880584988995,1.180539144457749
11,7.43231635529573,1.9805720689979134,10.0,150,9.222131160176705,5.944101785770117,1.1947197477955276
12,7.2207810856657835,1.9840393394849924,10.0,200,9.007174560061566,5.911998300018473,1.1968886463771022
13,7.04244802594298,1.954530259880681,10.0,500,8.828478896395733,5.703433625099584,1.2259659111473775
14,6.887287092471426,1.9673133427721397,10.0,750,8.67249415739977,5.706184953814218,1.2118542761080646
15,6.7540383116455205,1.955660877094853,10.0,1000,8.53520326999806,5.767394323126821,1.227279294542544
16,6.636778799943333,2.1497515576666597,20.0,10,8.467269971614419,5.980287181833345,2.089222140291662
17,6.5289048838737,1.6593855476533164,20.0,50,8.357561957014042,5.94467429667331,1.0916241175866617
18,6.432988932578027,1.6508801537966187,20.0,100,8.25254971086441,6.046393805031565,1.0320242425624748
19,6.342534152461211,1.8992914474310765,20.0,150,8.158385779066483,5.982507775676823,1.0306587324044119
20,6.261255580720833,1.9478555433724631,20.0,200,8.07290740815741,5.910197751968055,1.0429578379108855
21,6.186837689668664,1.8549203296799506,20.0,500,7.995975607701085,5.62320600314664,1.0525955673093352
22,6.1175066310326205,1.8530916482872375,20.0,750,7.925434831770434,5.604548654944496,1.0361088342989482
23,6.055655447617796,1.8526810181554143,20.0,1000,7.860322393636733,5.671237406882468,1.0564932654549914
24,6.003854294221418,2.1497515576666597,30.0,10,7.84112298579031,5.980287181833345,2.089222140291662
25,5.953515602547131,1.6593855476533164,30.0,50,7.789253859752513,5.94467429667331,1.0916241175866617
26,5.907329906499307,1.6508801537966187,30.0,100,7.7364048012494955,6.046393805031565,1.0320242425624748
27,5.861492885918678,1.8992914474310765,30.0,150,7.687578596737223,5.982507775676823,1.0306587324044119
28,5.819223619021941,1.9478555433724631,30.0,200,7.641915196504077,5.910197751968055,1.0429578379108855
29,5.779384897640314,1.8549203296799506,30.0,500,7.5998648051758515,5.62320600314664,1.0525955673093352
30,5.741089363556421,1.8530916482872375,30.0,750,7.5603057829416835,5.604548654944496,1.0361088342989482
31,5.706464015603935,1.8526810181554143,30.0,1000,7.522881677581937,5.671237406882468,1.0564932654549914
32,5.677802276122249,2.1497515576666597,,10,7.518562147881761,5.980287181833345,2.089222140291662
33,5.648897747727182,1.6593855476533164,,50,7.4883846055560515,5.94467429667331,1.0916241175866617
34,5.621972149485145,1.6508801537966187,,100,7.456211596259336,6.046393805031565,1.0320242425624748
35,5.594247737839494,1.8992914474310765,,150,7.426018803999518,5.982507775676823,1.0306587324044119
36,5.568340613733381,1.9478555433724631,,200,7.397297754971855,5.910197751968055,1.0429578379108855
37,5.543491175939689,1.8549203296799506,,500,7.370537378700419,5.62320600314664,1.0525955673093352
38,5.519099692993535,1.8530916482872375,,750,7.344973218116221,5.604548654944496,1.0361088342989482
39,5.496949156395617,1.8526810181554143,,1000,7.32041724794906,5.671237406882468,1.0564932654549914
