,C,cv_mse,ext_val_mse,gamma,train_mse,rcv_mse,test_mse
0,0.0001,53.38669744,49.87481348,1.00E-05,50.80778491,53.74319811,46.19204876
1,0.0001,53.38921106,49.88003863,0.0001,50.81386487,53.74620213,46.19904492
2,0.0001,53.39070198,49.88116868,0.001,50.81632868,53.74806231,46.20196333
3,0.0001,53.3923279,49.88420895,0.01,50.82042258,53.74991482,46.20669448
4,0.0001,53.39367424,49.88602755,0.1,50.82254549,53.75147225,46.20901416
5,0.0001,53.39468955,49.88658646,1,50.82306384,53.75261412,46.2097377
6,0.0001,53.39542843,49.88660588,10,50.82312999,53.75343088,46.20985413
7,0.0001,53.39599025,49.88660285,100,50.82315743,53.7540546,46.2098967
8,0.0001,53.39643589,49.88667462,1000,50.82322124,53.75454832,46.20996761
9,0.001,53.38069321,49.78129778,1.00E-05,50.64870687,53.73993039,46.02186588
10,0.001,53.37290233,49.82278681,0.0001,50.71284893,53.73277906,46.09323477
11,0.001,53.36832537,49.83122905,0.001,50.73692653,53.72884045,46.1220457
12,0.001,53.36742289,49.85607929,0.01,50.77655612,53.72765973,46.16861502
13,0.001,53.36801012,49.87423451,0.1,50.79724295,53.72813731,46.19152423
14,0.001,53.36899014,49.8798212,1,50.80242097,53.72897308,46.19875484
15,0.001,53.36991117,49.88001493,10,50.80308139,53.72970924,46.19991827
16,0.001,53.37075979,49.87998424,100,50.80335485,53.73041122,46.2003433
17,0.001,53.37155745,49.88070163,1000,50.80399277,53.73107825,46.2010524
18,0.01,53.3023835,49.07576451,1.00E-05,49.18334513,53.66754699,44.46610432
19,0.01,53.26430803,49.32879091,0.0001,49.74334243,53.63140653,45.0843394
20,0.01,53.23438018,49.4511196,0.001,49.8937506,53.60782486,45.31078086
21,0.01,53.22020491,49.64154702,0.01,50.33574657,53.59721425,45.79056534
22,0.01,53.21647255,49.7636527,0.1,50.55340763,53.59414497,46.02254421
23,0.01,53.21604992,49.80031335,1,50.60923077,53.59362294,46.09576626
24,0.01,53.2160087,49.80646727,10,50.60754272,53.59316305,46.10306484
25,0.01,53.21630158,49.81393833,100,50.60570763,53.59282165,46.1049495
26,0.01,53.21686527,49.82108088,1000,50.61207105,53.592774,46.11203645
27,0.1,52.94064756,46.06105946,1.00E-05,42.92619152,53.30898531,37.85792594
28,0.1,52.73189524,46.63398328,0.0001,43.86908685,53.1070981,39.09640979
29,0.1,52.55363157,46.43818409,0.001,44.25396211,52.9478908,39.92595374
30,0.1,52.45365696,47.21973144,0.01,46.25096073,52.85513438,42.46395852
31,0.1,52.40564884,48.61800661,0.1,48.03404279,52.81030526,44.37814707
32,0.1,52.37726968,49.12119588,1,48.57961124,52.78167354,45.05042685
33,0.1,52.35245379,49.18568713,10,48.67459705,52.75519857,45.15026961
34,0.1,52.33108228,49.14945422,100,48.72759409,52.73257164,45.19666374
35,0.1,52.31302821,49.22051656,1000,48.80561384,52.71315868,45.274256
36,1,52.0247941,45.91482281,1.00E-05,40.30202528,52.40090992,35.57368045
37,1,51.71326567,43.95826485,0.0001,38.28683877,52.07171892,33.90032171
38,1,51.32211144,41.37197224,0.001,34.24479974,51.68978303,31.95110323
39,1,50.90698086,39.2827126,0.01,31.01366699,51.27811994,30.40443684
40,1,50.57885448,42.19896534,0.1,32.75791316,50.95490008,34.3293602
41,1,50.29496278,43.76437011,1,33.39215621,50.67194269,37.15521342
42,1,50.02054084,43.62327324,10,33.12904289,50.39225566,37.29157053
43,1,49.76251895,43.4018979,100,33.08686872,50.1313919,37.29955718
44,1,49.52670335,43.68954028,1000,33.57517076,49.89364677,37.8633907
45,10,49.35997092,45.44826232,1.00E-05,38.93820651,49.67526509,34.69446842
46,10,49.10280017,42.68611827,0.0001,34.59821247,49.37532196,32.64286453
47,10,48.75483026,40.0037217,0.001,29.95829297,48.99632609,32.43184803
48,10,48.33634448,41.34651956,0.01,21.70154464,48.54497574,27.11882588
49,10,47.86623518,39.19004579,0.1,14.24531437,48.02577118,25.49925008
50,10,47.35448377,28.89063874,1,7.727904737,47.51299296,23.90274179
51,10,46.77181816,27.59846881,10,2.531519713,46.93725777,17.61495605
52,10,46.18889015,26.19875653,100,0.950900112,46.36559459,17.10228791
53,10,45.63927632,26.58102367,1000,0.878997365,45.82798144,17.87396074
54,100,45.4876602,43.08455512,1.00E-05,34.69684993,45.65512557,32.20815968
55,100,45.28633232,40.49933172,0.0001,31.77378806,45.43064423,36.24518174
56,100,45.04246836,45.64724896,0.001,25.27643036,45.16213602,34.85015022
57,100,44.81550595,45.76147522,0.01,18.912091,44.87125508,36.05150758
58,100,44.4704282,36.87262784,0.1,9.47112782,44.50062036,30.3417228
59,100,43.99716641,28.70205065,1,1.912317848,44.05335569,19.50727697
60,100,43.52462691,26.11745398,10,0.126131637,43.58911848,15.56036205
61,100,43.06662429,25.376094,100,0.0099694,43.14238922,16.69642783
62,100,42.63291513,25.88430867,1000,0.009922152,42.72052261,17.48461376
63,1000,42.52556111,42.13311975,1.00E-05,32.46472019,42.58867686,35.28101856
64,1000,42.38661792,43.56003601,0.0001,29.03545923,42.42335216,38.00163614
65,1000,42.22596083,48.73014527,0.001,21.83224857,42.3074133,31.8264271
