,C,cv_mse,ext_val_mse,gamma,train_mse,rcv_mse,test_mse
0,0.0001,290.0653982,261.8039527,1.00E-05,284.6816951,286.4259832,288.596935
1,0.0001,290.0724453,261.8149037,0.0001,284.6917145,286.4319363,288.606602
2,0.0001,290.0789523,261.8301913,0.001,284.7059604,286.4366103,288.6206805
3,0.0001,290.0826877,261.8322261,0.01,284.7079161,286.4393896,288.6230371
4,0.0001,290.0849641,261.8323908,0.1,284.7081801,286.4410907,288.623335
5,0.0001,290.0864874,261.8324902,1,284.7083534,286.4422317,288.6234385
6,0.0001,290.0875672,261.832528,10,284.7085032,286.4430593,288.623553
7,0.0001,290.0883758,261.8325283,100,284.7085305,286.4436817,288.6235552
8,0.0001,290.0890047,261.8325283,1000,284.7085305,286.4441658,288.6235552
9,0.001,290.0571743,261.5242572,1.00E-05,284.3869615,286.4188986,288.3322789
10,0.001,290.0438301,261.6336697,0.0001,284.4842907,286.4090399,288.4353245
11,0.001,290.0430992,261.7864833,0.001,284.6271477,286.4075444,288.5730658
12,0.001,290.0439631,261.8068283,0.01,284.6467007,286.4076395,288.5966279
13,0.001,290.0448293,261.8084753,0.1,284.6493399,286.4078412,288.5996069
14,0.001,290.0456026,261.8094691,1,284.6510726,286.4080432,288.6006418
15,0.001,290.0462431,261.8098467,10,284.6525704,286.4082754,288.6017872
16,0.001,290.0468024,261.8098496,100,284.6528439,286.4084883,288.601809
17,0.001,290.0472995,261.8098496,1000,284.6528439,286.4086776,288.601809
18,0.01,289.8789431,258.9637816,1.00E-05,281.5318158,286.2783169,285.4913552
19,0.01,289.7936771,259.8435148,0.0001,282.4191338,286.218199,286.7261093
20,0.01,289.7782412,261.3498879,0.001,283.8400737,286.2003435,288.0974984
21,0.01,289.7729038,261.5531069,0.01,284.0351903,286.1921423,288.3327407
22,0.01,289.7687872,261.5695407,0.1,284.0615393,286.1853824,288.3625148
23,0.01,289.7651067,261.5794659,1,284.0788324,286.1793548,288.3728563
24,0.01,289.7614728,261.5832378,10,284.0937791,286.1741634,288.3843043
25,0.01,289.7580841,261.5832667,100,284.0965101,286.1694238,288.3845217
26,0.01,289.7549465,261.5832667,1000,284.0965102,286.1650353,288.3845217
27,0.1,288.7678682,237.5022542,1.00E-05,257.8635685,285.3468239,259.8241677
28,0.1,288.1866947,243.7763763,0.0001,262.9753032,284.9072687,270.6253687
29,0.1,288.0383035,257.5687333,0.001,276.021076,284.7663057,283.772248
30,0.1,287.9652824,259.2299118,0.01,277.964961,284.6929174,285.8366742
31,0.1,287.9011683,259.385763,0.1,278.2245221,284.6270161,286.1330188
32,0.1,287.8419843,259.4415908,1,278.3942233,284.5653813,286.2356946
33,0.1,287.7856353,259.4788848,10,278.5406809,284.5087664,286.3496583
34,0.1,287.7322854,259.479175,100,278.5676058,284.4557677,286.3518317
35,0.1,287.6819021,259.479175,1000,278.5676069,284.4057134,286.3518317
36,1,284.4739422,150.5192193,1.00E-05,162.5274012,281.606665,153.6415195
37,1,281.7558529,151.3493037,0.0001,154.1576045,279.1934785,173.9187395
38,1,280.5018811,225.4893048,0.001,209.5890825,277.9987121,242.1911373
39,1,279.6598734,237.3144378,0.01,224.0335225,277.2212631,260.8249666
40,1,278.9024095,241.1395919,0.1,226.2676291,276.5159118,262.7261411
41,1,278.1953611,242.6128147,1,227.6595478,275.8507361,263.4057857
42,1,277.5332438,242.9215843,10,228.7474032,275.2286856,264.6558561
43,1,276.9029365,242.8549005,100,228.9717137,274.6365307,264.693602
44,1,276.3006435,242.855034,1000,228.971695,274.0706927,264.6937511
45,10,272.2591724,56.64040857,1.00E-05,75.87381674,270.1788565,57.58035543
46,10,267.8946234,63.59110264,0.0001,42.37747888,266.0124058,52.24903477
47,10,263.9385389,110.2001414,0.001,30.51441593,262.2774016,106.4630823
48,10,260.6438916,149.0521735,0.01,37.29504626,259.1804446,147.3199303
49,10,257.5294101,152.1051719,0.1,38.33083337,256.2301176,159.3768888
50,10,254.5439815,157.2038046,1,39.09333054,253.3969222,164.1387508
51,10,251.6888657,157.849727,10,39.48554072,250.6904794,171.7113576
52,10,248.9420293,157.8360678,100,39.63490912,248.0866769,171.9354117
53,10,246.2969278,157.8363377,1000,39.63491896,245.579312,171.9353987
54,100,242.8984468,45.82415862,1.00E-05,46.19795258,242.1531306,38.11735442
55,100,239.0207976,28.60147007,0.0001,8.599057234,238.3692051,29.69143812
56,100,235.6232475,97.00905209,0.001,3.74860181,235.1754776,76.12826577
57,100,232.7045817,115.7502546,0.01,2.535472191,232.4320433,108.5435173
58,100,229.8988208,120.1828397,0.1,2.446838847,229.7847098,119.8483358
59,100,227.1936297,126.4975146,1,2.441025115,227.226622,124.4335535
60,100,224.5869936,127.0183087,10,2.440975732,224.7629941,136.7404364
61,100,222.0642774,127.0229624,100,2.440967047,222.3789226,137.2163143
62,100,219.6216474,127.022937,1000,2.440976582,220.070536,137.2163309
63,1000,216.8002183,48.69581758,1.00E-05,24.97182763,217.1593549,39.37793788
64,1000,213.8705058,32.36159222,0.0001,4.855049234,214.337077,38.25516919
65,1000,211.3682975,96.89500015,0.001,2.332530446,211.9907342,75.4727465
66,1000,209.2030325,115.8184615,0.01,2.447890349,209.9611689,108.4815098
67,1000,207.1142333,120.1937069,0.1,2.440968739,207.9946718,119.838048
68,1000,205.0921046,126.4975146,1,2.441025115,206.0860453,124.4335535
69,1000,203.1363435,127.0183087,10,2.440975732,204.2411778,136.7404364
70,1000,201.2355301,127.0229624,100,2.440993619,202.4483522,137.2163171
71,1000,199.387517,127.022937,1000,2.441082168,200.7053274,137.2163405
72,10000,197.0250032,46.35383062,1.00E-05,11.9799424,198.4348246,45.94098156
73,10000,194.7617913,83.08361912,0.0001,3.822871556,196.2508031,80.70069848
74,10000,192.8400701,98.99861835,0.001,2.447686161,194.4332466,75.40201037
75,10000,191.1750106,115.831062,0.01,2.440990019,192.8750441,108.4705075
76,10000,189.5644869,120.1937069,0.1,2.440968739,191.3602951,119.838048
77,10000,188.0006775,126.4975146,1,2.441025115,189.8851559,124.4335535
78,10000,186.4840718,127.0183087,10,2.440976187,188.4555378,136.7404363
79,10000,185.0052533,127.0229624,100,2.440990848,187.0617256,137.2163169
80,10000,183.5629487,127.022937,1000,2.440955307,185.7023285,137.2163287
