,C,cv_mse,ext_val_mse,gamma,train_mse,rcv_mse,test_mse
0,0.0001,290.3663074,204.3386506,1.00E-05,301.4135851,290.5364977,293.0494835
1,0.0001,290.3718704,204.3403109,0.0001,301.4195935,290.5414877,293.0554415
2,0.0001,290.3759061,204.3473527,0.001,301.4283804,290.5450113,293.0651883
3,0.0001,290.3781305,204.3483554,0.01,301.4294084,290.5469122,293.0666402
4,0.0001,290.3794776,204.348473,0.1,301.4294251,290.5480658,293.0666788
5,0.0001,290.3803878,204.3485353,1,301.4294983,290.5488449,293.0667321
6,0.0001,290.3810587,204.3486697,10,301.4295751,290.5494154,293.0667947
7,0.0001,290.381563,204.3486774,100,301.4295793,290.5498439,293.0667984
8,0.0001,290.3819551,204.3486774,1000,301.4295793,290.5501772,293.0667984
9,0.001,290.359446,204.2207454,1.00E-05,301.2248433,290.5304512,292.8748311
10,0.001,290.3511375,204.2372988,0.0001,301.284802,290.523379,292.9343135
11,0.001,290.3496639,204.3076934,0.001,301.3726302,290.5221339,293.0317448
12,0.001,290.3490523,204.3177183,0.01,301.3829061,290.5215076,293.0462595
13,0.001,290.3485728,204.3188941,0.1,301.3830725,290.5210176,293.0466453
14,0.001,290.3482056,204.3195168,1,301.3838041,290.5206331,293.0471783
15,0.001,290.3479751,204.3208605,10,301.3845725,290.5203578,293.0478042
16,0.001,290.3477765,204.3209369,100,301.3846147,290.5201179,293.0478404
17,0.001,290.3476,204.3209369,1000,301.3846147,290.5199047,293.0478404
18,0.01,290.2308275,203.1889619,1.00E-05,299.3547485,290.4150293,291.1423231
19,0.01,290.1782534,203.2100771,0.0001,299.941838,290.3702138,291.7273758
20,0.01,290.1616476,203.9726269,0.001,300.816018,290.3560838,292.698012
21,0.01,290.1502844,204.0741224,0.01,300.9183566,290.3457414,292.84273
22,0.01,290.1401813,204.0858714,0.1,300.9199638,290.3365827,292.8465181
23,0.01,290.1312215,204.0920864,1,300.9272661,290.3284376,292.8518379
24,0.01,290.1235581,204.1055098,10,300.9349321,290.3213345,292.8580839
25,0.01,290.1165157,204.1062733,100,300.9353533,290.3147978,292.858445
26,0.01,290.109995,204.1062733,1000,300.9353533,290.3087452,292.858445
27,0.1,289.3722122,192.8251008,1.00E-05,279.2946239,289.6436522,272.0144969
28,0.1,289.0240967,193.2000041,0.0001,285.1072728,289.3358828,277.9326555
29,0.1,288.8874481,201.1484404,0.001,294.8998394,289.2196854,288.9121814
30,0.1,288.7843226,202.1633482,0.01,296.3197924,289.1263313,290.8351044
31,0.1,288.6870455,202.2811732,0.1,296.3306373,289.0408228,290.8660475
32,0.1,288.5977919,202.342747,1,296.4022929,288.9622701,290.9182505
33,0.1,288.5179564,202.476597,10,296.4771938,288.8911515,290.9793449
34,0.1,288.4429146,202.4842333,100,296.4813423,288.8242437,290.982905
35,0.1,288.3720419,202.4842333,1000,296.4813423,288.7610529,290.982905
36,1,285.560982,127.7168812,1.00E-05,179.2715537,286.0461054,181.214884
37,1,283.5595276,129.3823808,0.0001,198.2461996,284.1526248,200.0661505
38,1,282.5598633,171.4956012,0.001,244.671489,283.2784935,258.6437081
