,C,cv_mse,ext_val_mse,gamma,rcv_mse,test_mse,train_mse
0,0.0001,305.92795344106503,323.89438127924535,1e-05,294.8859917255811,247.91227591098513,305.4901705860094
1,0.0001,305.9386522674276,323.92703701173156,0.0001,294.891860956653,247.93905832887896,305.51978345586986
2,0.0001,305.9476666111681,323.94851474890993,0.001,294.89864165339105,247.95675940399664,305.5403592430058
3,0.0001,305.9529456998358,323.95227764442643,0.01,294.9028241194521,247.95989466817912,305.5445607410477
4,0.0001,305.9561997280029,323.95298786182286,0.1,294.90543170761055,247.9605101119203,305.5453461171503
5,0.0001,305.95841033737895,323.95311793526406,1.0,294.90721357436615,247.96072185823965,305.54556261557866
6,0.0001,305.96001417153343,323.9531667716656,10.0,294.90850906155777,247.9609733413636,305.5457164964942
7,0.0001,305.9612206679961,323.95318365230844,100.0,294.90948391701414,247.96100321264117,305.54573034868
8,0.0001,305.9621590541353,323.95318365388886,1000.0,294.9102421379261,247.96100321366663,305.54573034913886
9,0.001,305.91763925807385,323.34899536963326,1e-05,294.8765123803112,247.4547260287298,304.9446323178088
10,0.001,305.9005218742207,323.67493825795196,0.0001,294.8595648168649,247.72208857482582,305.2402120241369
11,0.001,305.8998705361753,323.8895894942065,0.001,294.8574956451465,247.8989276507066,305.44579944231145
12,0.001,305.9016939898948,323.92721293495737,0.01,294.8581814649045,247.9302744282374,305.48780512314397
13,0.001,305.9035661063532,323.93431556848435,0.1,294.85911951900437,247.93642915668096,305.4956590366228
14,0.001,305.90535361745697,323.9356162636987,1.0,294.8601063533734,247.93854617818522,305.49782367300196
15,0.001,305.90702629432946,323.93610458348815,10.0,294.86106923787673,247.94106065230747,305.49936215540134
16,0.001,305.90851922259503,323.9362733730855,100.0,294.8619340865276,247.94135935641185,305.4995006593005
17,0.001,305.9098462699509,323.9362733888889,1000.0,294.86270284089153,247.9413593666667,305.49950066388885
18,0.01,305.67619956835824,317.93491817944755,1e-05,294.70867032406676,243.00719441269445,299.6426090709604
19,0.01,305.5696790372969,320.89568848568206,0.0001,294.6191176810276,245.31340665789233,302.1497877712318
20,0.01,305.55036152124734,323.284874620998,0.001,294.59320838690104,247.29056897770076,304.4627083421592
21,0.01,305.5467894985163,323.6767134189019,0.01,294.5834699930603,247.6346681925266,304.92093267699715
22,0.01,305.5454127815867,323.7477857104098,0.1,294.5769603246679,247.6959203146432,304.99931937821833
23,0.01,305.5451831184103,323.7607887427386,1.0,294.57215526217817,247.71704636067952,305.0209309515188
24,0.01,305.54566590805274,323.76566751802807,10.0,294.56836965527725,247.74215539017445,305.036283099932
25,0.01,305.5462228001516,323.7673537309464,100.0,294.5649747585315,247.745141564074,305.0376663430505
26,0.01,305.5467384410411,323.7673538888889,1000.0,294.5618313356699,247.74514166666668,305.03766638888885
27,0.1,304.1912494757315,277.0070583909596,1e-05,293.4664441263745,210.18598016143443,260.2067990046449
28,0.1,303.48865694416713,296.3474243568193,0.0001,292.8336774967389,224.47410342047166,275.483976709472
29,0.1,303.3125436059159,317.2661860408906,0.001,292.6464189986961,241.85321397615422,295.45187941791363
30,0.1,303.2323623084833,321.14115288582315,0.01,292.554097873002,244.66936686222135,299.25035438363955
31,0.1,303.17517673825756,321.6922520895314,0.1,292.4843036994205,245.05482908252483,299.76376125231155
32,0.1,303.1303990087949,321.822039228712,1.0,292.42703094854613,245.26260751917587,299.97684855356493
33,0.1,303.09318103837296,321.8704735096624,10.0,292.377740046837,245.5105221337317,300.1274279899936
34,0.1,303.05890416930964,321.88724208064906,100.0,292.33199428207075,245.54024910350316,300.1411020508401
