,cv_mse,ext_val_mse,max_depth,n_estimators,rcv_mse,test_mse,train_mse
0,10.920259786527213,14.822192624579413,5.0,10,10.967244433590759,11.586758952643176,8.779283010010998
1,10.549404259014015,14.557456543140269,5.0,50,10.522586530412736,10.10003377142414,8.64108153599494
2,10.518003283701631,14.903058567920084,5.0,100,10.278665883932385,10.510684113995044,8.871373274680675
3,10.483809934655804,14.941575917993454,5.0,150,10.147738517524175,10.883112380424535,8.972656268383245
4,10.471758735806082,14.90694504618682,5.0,200,10.035792345048081,11.09232683142815,9.053888421990965
5,10.475685074397301,14.661498212035523,5.0,500,9.935502935628923,11.231685619288537,9.045227983667424
6,10.480654156787912,14.858628616450071,5.0,750,9.854878530026136,11.321722643496651,9.062897587842048
7,10.48383697136002,14.953276718934623,5.0,1000,9.790182803626559,11.386321920167898,9.077664058265515
8,9.74073185948699,5.406074400042942,10.0,10,9.191597801636373,5.436192113224983,1.6620719954783598
9,9.096274025096747,6.4830076800867875,10.0,50,8.651664479453153,4.961314806640971,1.54400018992772
10,8.57459470370177,6.518684983535871,10.0,100,8.199947931066514,5.076561120077988,1.5264404979389385
11,8.136942956754572,6.350438980381385,10.0,150,7.823248023106061,5.151041918159991,1.4786771074103995
12,7.763696730381134,6.268535579039631,10.0,200,7.497304053376958,5.225661832003606,1.483238948783769
13,7.440377124756622,6.136167220693784,10.0,500,7.212766427250677,5.27163976976023,1.4545441818339542
14,7.160828027727674,6.261472848500974,10.0,750,6.967215062217739,5.318453859438789,1.4716109979283412
15,6.916002473153725,6.285203585087537,10.0,1000,6.751478257576414,5.32325585682257,1.4777974169067205
16,6.716964041643865,5.363894687111111,20.0,10,6.6173908975014255,4.7387050243888975,1.4044991319722233
17,6.514131666592878,5.8230111335980475,20.0,50,6.452073064104396,4.510781280848392,1.1733855278122265
18,6.332955484415986,5.967033848809119,20.0,100,6.298125908416012,4.817247634921126,1.167638747598571
19,6.167589973565027,5.783328699071036,20.0,150,6.158012686892394,4.84815666431236,1.1306403189040222
20,6.017514042887866,5.7815900110942895,20.0,200,6.027296075331542,4.961928616230278,1.132897167960133
21,5.878793558392911,5.721064425862161,20.0,500,5.9061085568909855,5.001789702008382,1.1149173093778073
22,5.752324861119019,5.873648370302821,20.0,750,5.7957391970460845,5.027262257649956,1.1348242879528576
23,5.63672462449003,5.906976765619938,20.0,1000,5.6941495199557925,5.0275736282376196,1.1396169081627603
24,5.552549605009873,5.363894687111111,30.0,10,5.645263264609626,4.7387050243888975,1.4044991319722233
25,5.456912362152805,5.880384469026683,30.0,50,5.568223088011233,4.521159501513331,1.1796980690666696
26,5.368574282266847,5.995394715992201,30.0,100,5.4926337452361595,4.821981571709952,1.1704185124404218
27,5.284945945508491,5.806350400731824,30.0,150,5.42132532214582,4.85213982689971,1.133726612005369
28,5.20673940785937,5.797605687405294,30.0,200,5.352075266426759,4.964139975110353,1.1350389422139149
29,5.132040762295986,5.728670115780037,30.0,500,5.285705436080655,5.0033353068865605,1.115894672832845
30,5.062294661606919,5.87974133263406,30.0,750,5.223833169961525,5.029237731362341,1.135459432178623
31,4.997150515902148,5.914415619851411,30.0,1000,5.16550688812463,5.027992268893319,1.1403218283681253
32,4.952762595344086,5.363894687111111,,10,5.144491319887568,4.7387050243888975,1.4044991319722233
33,4.897269027561204,5.880384469026683,,50,5.10030683027474,4.521159501513331,1.1796980690666696
34,4.845112318351797,5.995394715992201,,100,5.055364087497869,4.821981571709952,1.1704185124404218
35,4.794608666537382,5.806350400731824,,150,5.0120483600314465,4.85213982689971,1.133726612005369
36,4.746564009433237,5.797605687405294,,200,4.968832828849327,4.964139975110353,1.1350389422139149
37,4.699701273420726,5.728670115780037,,500,4.926520921670231,5.0033353068865605,1.115894672832845
38,4.655347693100577,5.87974133263406,,750,4.8865502617911885,5.029237731362341,1.135459432178623
39,4.613406050749418,5.914415619851411,,1000,4.848321309025931,5.027992268893319,1.1403218283681253
