,C,cv_mse,ext_val_mse,gamma,train_mse,rcv_mse,test_mse
0,0.0001,326.2725729,296.4559311,1.00E-05,326.3221613,332.541619,330.4604118
1,0.0001,326.286787,296.4799038,0.0001,326.3489536,332.552749,330.4801445
2,0.0001,326.2962732,296.4903238,0.001,326.3641746,332.5599449,330.49673
3,0.0001,326.3015266,296.4923332,0.01,326.3669934,332.5640466,330.4996593
4,0.0001,326.3047106,296.4926314,0.1,326.3672044,332.5665358,330.499922
5,0.0001,326.3068378,296.4926819,1,326.3672402,332.5682159,330.499996
6,0.0001,326.308374,296.4927284,10,326.3673119,332.5694585,330.5001556
7,0.0001,326.3095277,296.4927289,100,326.3673198,332.5703927,330.5001816
8,0.0001,326.3104251,296.4927289,1000,326.3673198,332.5711194,330.5001816
9,0.001,326.2619634,296.1225276,1.00E-05,325.8759723,332.5322628,330.0781154
10,0.001,326.2479526,296.3620741,0.0001,326.1435549,332.520677,330.2751471
11,0.001,326.248141,296.4662359,0.001,326.2956957,332.5197336,330.4409323
12,0.001,326.2498696,296.4863265,0.01,326.3238769,332.5204847,330.47022
13,0.001,326.2514654,296.4893079,0.1,326.3259861,332.5212291,330.4728462
14,0.001,326.2528666,296.489813,1,326.3263443,332.5219568,330.4735857
15,0.001,326.2541657,296.4902789,10,326.327061,332.5227796,330.4751808
16,0.001,326.2553197,296.4902832,100,326.3271397,332.5235163,330.4754408
17,0.001,326.2563454,296.4902832,1000,326.3271397,332.5241712,330.4754408
18,0.01,326.0312647,293.6395442,1.00E-05,322.3253286,332.3399679,326.9477626
19,0.01,325.9404538,295.0824841,0.0001,323.9954282,332.2668787,328.1580051
20,0.01,325.9248109,296.1707624,0.001,325.5594387,332.2483588,329.8426834
21,0.01,325.9196833,296.4170925,0.01,325.8736513,332.2400161,330.1611298
22,0.01,325.9156789,296.4540404,0.1,325.8844485,332.2330113,330.1793537
23,0.01,325.912037,296.438705,1,325.8679342,332.2271505,330.1710379
24,0.01,325.9089536,296.4110906,10,325.8434583,332.2227806,330.1621294
25,0.01,325.9061495,296.4108817,100,325.843998,332.2188061,330.1645332
26,0.01,325.9035531,296.4108817,1000,325.843998,332.215126,330.1645333
27,0.1,324.8565264,266.8775058,1.00E-05,287.8191255,331.3647231,296.8775655
28,0.1,324.315299,283.5040135,0.0001,304.6069855,330.9019223,308.69497
29,0.1,324.1634131,292.5072701,0.001,317.5895317,330.7594997,323.3682832
30,0.1,324.0804485,294.6122174,0.01,320.4092086,330.6750753,326.3000256
31,0.1,324.00769,294.8262427,0.1,320.4996219,330.5995584,326.4773104
32,0.1,323.940206,294.8497398,1,320.4664363,330.5287645,326.4965174
33,0.1,323.8771755,294.8078035,10,320.3957184,330.4631532,326.5413886
34,0.1,323.8180426,294.8082357,100,320.4022681,330.401639,326.566257
35,0.1,323.7621949,294.8082357,1000,320.4022681,330.3435422,326.5662583
36,1,320.3468188,175.2908467,1.00E-05,171.815566,327.1676045,188.4006177
37,1,317.6668291,199.521533,0.0001,174.7859017,324.732406,186.4217356
38,1,316.4720195,257.6116629,0.001,246.4485188,323.6368344,265.0319868
39,1,315.6378318,274.8020388,0.01,267.9853517,322.8807504,288.2516218
40,1,314.8654323,277.2095362,0.1,269.1698081,322.1685255,290.4114617
41,1,314.1308251,277.6760424,1,269.2392567,321.4892296,290.8603939
42,1,313.4478929,278.1293064,10,269.7543233,320.8595515,292.1153383
43,1,312.7980183,278.1453178,100,269.83361,320.2607959,292.3683319
44,1,312.177027,278.1453178,1000,269.83361,319.6886523,292.3683451
45,10,307.2269481,89.58314807,1.00E-05,71.81674071,314.7047829,86.47523063
46,10,302.1146537,87.74976324,0.0001,35.29511757,309.5852168,58.64162583
47,10,297.8218503,154.2862818,0.001,40.68704998,305.3563636,86.68363113
48,10,294.1241811,193.10937,0.01,53.60083922,301.7377569,126.8061034
49,10,290.6406832,205.36722,0.1,55.73911259,298.2593802,135.928075
50,10,287.3051882,208.7099141,1,56.14427377,294.9187073,138.9178671
51,10,284.1432061,212.9219174,10,56.81322555,291.7377349,143.0211342
52,10,281.106519,213.0265455,100,56.85570685,288.6833362,144.3819966
53,10,278.182302,213.0265343,1000,56.85571769,285.7420634,144.3821212
54,100,274.0196082,66.35691645,1.00E-05,39.02543091,281.457057,51.5900371
55,100,269.7812032,53.37519255,0.0001,8.640701417,277.1496325,28.38903565
56,100,266.2033018,130.1790046,0.001,2.822268481,273.5655333,35.33930049
57,100,263.0556117,166.0835471,0.01,1.223527822,270.4161382,69.96647429
58,100,260.1312401,186.8921982,0.1,1.210251266,267.4041601,78.2140929
59,100,257.3186793,188.8060611,1,1.21045728,264.5034176,81.24821953
60,100,254.637241,195.0030865,10,1.211461443,261.7165765,86.80510236
61,100,252.0464152,195.1065855,100,1.211926929,259.0240405,88.34288975
62,100,249.5378379,195.1065732,1000,1.211928765,256.4169818,88.34302133
63,1000,246.0968643,41.58151819,1.00E-05,19.13349871,252.8735399,28.40594701
64,1000,242.8554715,59.53823307,0.0001,4.93685294,249.545159,25.27786803
65,1000,240.2937683,135.7831512,0.001,1.298572777,247.028045,35.66192325
66,1000,237.9542462,165.9620013,0.01,1.203081022,244.6963949,69.93257656
67,1000,235.7860615,186.8922121,0.1,1.210251207,242.4612925,78.21409315
68,1000,233.6931851,188.8060611,1,1.21045728,240.3003986,81.24821953
