,cv_mse,ext_val_mse,max_depth,n_estimators,rcv_mse,test_mse,train_mse
0,9.889736552374801,10.052999049327022,5.0,10,9.46975080083925,9.356128469702698,7.453187368497869
1,9.567245760340288,9.837534893586986,5.0,50,9.24793585199858,8.051285746433804,6.602323188178716
2,9.417296763298003,10.202423335608719,5.0,100,9.20498583013006,8.120518894190338,6.697264328416407
3,9.358158308605782,10.322806016192668,5.0,150,9.194569695475497,8.066750418047043,6.825937100671485
4,9.313419863026944,10.336640619809963,5.0,200,9.188635000271466,8.122694474162069,6.785299243969776
5,9.277203442369396,10.337180581723938,5.0,500,9.171925606560281,8.197830744049465,6.799029748045454
6,9.250426116686159,10.298753672302757,5.0,750,9.160700194142603,8.181893328188332,6.775270639966182
7,9.227441468797148,10.225627131712008,5.0,1000,9.15244751005287,8.15767168368004,6.76310599244757
8,8.663391124298316,4.026473462943424,10.0,10,8.634846610202183,5.09364384895378,1.5110740985481381
9,8.132896327246188,3.761382678660725,10.0,50,8.169981495109532,3.995354106115989,1.2040326123581802
10,7.7046211193681104,3.748866323014006,10.0,100,7.789647598793648,3.960277443363253,1.182155621399044
11,7.350910192255544,3.8937747667325855,10.0,150,7.46371497081434,3.9444488136402898,1.2042995856187415
12,7.047908200412848,3.9127986841102236,10.0,200,7.185853725958543,3.9347959567953237,1.1933636168460366
13,6.7876542290773045,3.866046264115156,10.0,500,6.947900612868277,3.8162659738449007,1.1804543652131254
14,6.5614106042495,3.9101547153140106,10.0,750,6.742291788621307,3.770639522875519,1.192676511894446
15,6.363145373619527,3.874530973745963,10.0,1000,6.5617896109966996,3.7214767893953016,1.188299960059145
16,6.22728849568725,3.71849147200001,20.0,10,6.437578139414261,4.967301977166668,1.2758702123750028
17,6.066896323409025,3.51797109335338,20.0,50,6.299755382026694,3.6398489982700046,0.9344604819808405
18,5.924283672228473,3.4581038979349614,20.0,100,6.173258694420327,3.666301250547556,0.9115441075574966
19,5.797256023119645,3.525319709282108,20.0,150,6.053480894101405,3.6125652855563524,0.9109930320047938
20,5.679081446307263,3.543180275756923,20.0,200,5.943866237220466,3.6414956979000057,0.9128828423916225
21,5.570898837284063,3.502005641001224,20.0,500,5.845443215519873,3.550568049786228,0.8915510975833255
22,5.4716735874929725,3.5516317889020734,20.0,750,5.756151878283687,3.50558453336572,0.9041250476391929
23,5.380028159344776,3.5342969192083413,20.0,1000,5.673196926438175,3.4756374691394387,0.8999444963430091
24,5.326970170921818,3.71849147200001,30.0,10,5.6242768331444575,4.967301977166668,1.2758702123750028
25,5.250557064143256,3.51797109335338,30.0,50,5.560141897501905,3.6398489982700046,0.9344604819808405
26,5.18043480069271,3.4581038979349614,30.0,100,5.49851880194649,3.666301250547556,0.9115441075574966
27,5.116266796741254,3.525319709282108,30.0,150,5.437061083592753,3.6125652855563524,0.9109930320047938
28,5.054174490303956,3.543180275756923,30.0,200,5.378940808282716,3.6414956979000057,0.9128828423916225
29,4.995672202762,3.502005641001224,30.0,500,5.32559477333354,3.550568049786228,0.8915510975833255
30,4.940609998815054,3.5522542708127727,30.0,750,5.276115666422379,3.5059833433358096,0.9041433344008758
31,4.888472462645092,3.534763957374471,30.0,1000,5.228900584158913,3.4759321733343125,0.8999585542709092
32,4.863172644042842,3.71849147200001,,10,5.205303432944862,4.967301977166668,1.2758702123750028
33,4.8183801955321455,3.51797109335338,,50,5.168581817459368,3.6398489982700046,0.9344604819808405
34,4.7766337885449,3.4581038979349614,,100,5.132231431746407,3.666301250547556,0.9115441075574966
35,4.737942035808984,3.525319709282108,,150,5.09460563331017,3.6125652855563524,0.9109930320047938
36,4.699500086464406,3.543180275756923,,200,5.058307456723454,3.6414956979000057,0.9128828423916225
37,4.66264760692706,3.502005641001224,,500,5.024629885751979,3.550568049786228,0.8915510975833255
38,4.627419306247051,3.5522542708127727,,750,4.993017387632379,3.5059833433358096,0.9041433344008758
39,4.593539044625281,3.534763957374471,,1000,4.962322778791355,3.4759321733343125,0.8999585542709092
